    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  222.72   9039.92      0.00      0.00
  238.05   9977.36      0.00      0.00
  238.76   9924.08      0.84      0.00
  240.27  10009.18      0.00      0.00
  232.70   9731.25      0.32      0.00
  236.39   9834.01      0.00      0.00
  237.43   9915.74      0.00      0.00
  234.56   9652.87      0.00      0.00
  236.27   9951.10      0.00      0.00
  235.17   9845.68      0.32      0.00
  239.38  10198.58      0.00      0.00
  237.33  10881.03      0.00      0.00
  263.89  10904.96      0.00      0.00
  258.13  11372.16      0.00      0.00
  272.90  11984.02      0.00      0.00
  316.07  10119.03      0.32      0.00
  581.34   7039.54      0.00      0.00
  575.32  11242.87      0.00      0.00
  394.73  10164.77      0.84      0.00
  225.78  10186.49      0.00      0.00
  228.86  10279.32      0.32      0.00
  394.30   8306.20      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  584.10   7963.36      0.00      0.00
  486.31   9391.12      0.00      0.00
  226.34   9767.07      0.00      0.00
  230.50   9987.58      0.00      0.00
  228.07   9850.50      0.32      0.00
  214.54   9156.85      0.00      0.00
  229.89   9734.67      0.00      0.00
  227.69   9559.59      0.00      0.00
  172.32   9684.39      0.00      0.00
  386.66   2706.71      0.32      0.00
   91.65      2.20      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.33      0.48      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
