    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  215.43   8673.96      0.00      0.00
  236.78  10020.34      0.00      0.00
  237.89   9791.08      1.15      0.00
  226.44   9507.75      0.00      0.00
  237.38   9913.46      0.00      0.00
  236.63   9797.33      0.00      0.00
  229.25   9660.38      0.00      0.00
  245.79   9993.46      0.00      0.00
  230.96   9683.41      0.32      0.00
  233.85   9767.25      0.00      0.00
  231.86   9983.23      0.00      0.00
  246.31  10762.05      0.00      0.00
  248.12  11135.76      0.00      0.00
  258.87  11511.11      0.32      0.00
  260.01  11474.57      0.00      0.00
  345.12  10313.84      0.00      0.00
  575.08   8439.19      0.00      0.00
  580.14   9551.15      0.00      0.00
  430.27   9938.24      0.83      0.00
  234.56  10163.78      0.32      0.00
  218.28   9851.90      0.00      0.00
  309.24   9131.35      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  575.14   7123.20      0.00      0.00
  571.76   9443.87      0.00      0.00
  225.39   9631.91      0.32      0.00
  226.31   9837.59      0.00      0.00
  231.55  10006.99      0.00      0.00
  219.49   9434.32      0.00      0.00
  230.90   9764.43      0.00      0.00
  222.14   9328.14      0.00      0.00
  248.88   9524.00      0.32      0.00
  258.10   5292.03      0.00      0.00
  165.18      2.20      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
