    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  226.27   9235.23      0.00      0.00
  231.91   9685.31      0.00      0.00
  235.85   9803.42      0.32      0.00
  236.21   9876.79      0.84      0.00
  237.92   9900.09      0.00      0.00
  235.31   9718.71      0.00      0.00
  232.77   9734.38      0.00      0.00
  236.69   9799.93      0.00      0.00
  235.00   9838.88      0.32      0.00
  236.77   9840.11      0.00      0.00
  239.61  10376.99      0.00      0.00
  247.85  10694.93      0.00      0.00
  250.33  11167.35      0.00      0.00
  260.60  11498.93      0.32      0.00
  261.62  11433.27      0.00      0.00
  323.33  10401.76      0.00      0.00
  567.35   6396.01      0.00      0.00
  559.03  11525.41      0.00      0.00
  379.04  10169.23      0.32      0.00
  224.12  10106.26      0.84      0.00
  219.94   9908.39      0.00      0.00
  393.11   8426.55      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  582.58   7914.71      0.00      0.00
  488.37   9466.33      0.00      0.00
  229.82   9899.32      0.32      0.00
  229.22   9982.22      0.00      0.00
  226.38   9744.81      0.00      0.00
  221.82   9484.06      0.00      0.00
  221.16   9384.57      0.00      0.00
  227.27   9517.11      0.00      0.00
  262.53   9645.16      0.32      0.00
  234.84   2713.62      0.00      0.00
  102.30      2.20      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
