    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  229.50   9469.92   1711.53  91018.65
  217.54   9857.92   2144.36  111527.4
  236.85   9545.72   2002.08  112539.0
  198.88   9458.83   1370.85  112464.3
  206.73   9261.06   1663.41  111947.4
  206.79   9645.56   1409.72  112474.5
  214.19   9491.35   1623.65  112483.8
  231.41   9699.34   2286.21  111846.0
  232.50   9983.10   3350.24  112465.9
  244.55   8858.38   4937.61  112466.5
  237.77   8542.94   4180.20  112371.8
  240.76   8803.41   3857.46  112424.9
  239.57  10795.32   3463.65  112468.9
  241.85  11646.58   3518.59  111857.1
  231.19   7832.46   3753.20  108864.8
  234.16   8466.87   3774.07  110572.0
  241.25   8749.84   3677.21  112475.4
  229.84   8567.79   3746.34  112060.1
  243.56  11209.88   3259.93  112458.3
  238.27  10653.04   3544.93  109972.9
  235.55   8324.84   3748.47  112434.8
  211.34   7840.53   3532.93  112431.6
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  197.71   5532.80   3811.72  108913.6
  272.70  10280.91   3624.80  110998.7
  252.78  10031.29   3606.09  112454.1
  248.18  10533.83   3513.83  112438.3
  249.30   9515.36   3876.76  110268.5
  219.62   7919.16   3772.62  111306.5
  216.30   8052.00   3771.56  112482.8
  232.68   8086.79   3748.76  112436.1
   95.12   3622.24    981.27  39318.38
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
