    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  252.14   9141.30   2344.89  86162.82
  264.34   9961.03   3146.35  111775.7
  257.10   9691.92   2937.13  112218.1
  244.60   9755.06   2859.92  112166.2
  245.56   9517.94   2914.70  111037.4
  262.34   9888.61   2914.19  112544.8
  244.22   9935.89   2892.71  112484.6
  249.86   9983.73   2993.65  112464.4
  279.21  10121.61   3242.85  110935.0
  281.54  10462.08   3149.68  112481.4
  240.58  10270.19   2857.11  112432.2
  259.05  10847.31   3071.81  112488.0
  241.72  11110.42   2918.24  112494.2
  246.60  10961.59   2991.54  111934.5
  253.66  11456.81   3059.58  113022.2
  244.13  11514.23   2976.84  112474.3
  238.79  12120.86   2850.36  112422.6
  509.57   7705.18   3019.84  112528.1
  605.07  10341.48   3057.37  112477.2
  456.78   8266.62   3012.53  112461.7
  274.05   9346.36   3093.51  112489.3
  260.19  11206.86   3037.28  112461.5
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  249.40   9698.64   2950.15  112479.8
  258.13   9639.68   3000.57  112489.5
  244.04   9529.53   2996.30  112465.2
  238.32   9670.73   2916.58  112469.7
  251.95   9583.14   3021.11  112472.1
  248.34   9649.00   2955.11  112416.2
  251.61   9721.49   2901.62  112516.2
  240.66   9647.64   2944.78  112501.5
   64.01   2689.75    766.32  39368.53
    0.00     11.97      0.00     11.97
  525.54  19405.99      0.00     11.97
  557.59   2633.29      0.00      0.00
   80.77      2.93      0.00     12.70
    0.00      0.00    415.04    626.68
    0.00      0.00    155.67    134.53
    0.33      0.48      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
