    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  223.98   9428.36   1752.87  89587.31
  225.62   9739.19   2115.70  111337.4
  223.96   9470.90   1613.53  112441.5
  215.43   9528.27   1756.78  112459.9
  225.48   9384.53   1916.31  111732.5
  198.64   9572.81   1621.31  112478.3
  239.85   9813.95   1754.66  112465.5
  248.18   9693.74   2270.01  112470.7
  254.23   9967.14   4013.37  112442.7
  240.38  10680.50   5041.55  104105.5
  232.21  10576.95   3856.22  79497.78
  224.39  10471.43   2893.64  59676.60
  233.02  10636.34   2173.19  44894.49
  227.67  10879.33   1806.20  37073.22
  226.97  11277.41   1356.23  28038.58
  232.17  11766.11   1092.69  22591.72
  227.51  10820.63    701.80  14519.65
  521.96   1866.80      9.24    191.47
  393.41  12086.14   1193.14  26084.51
  227.13  13873.15   1298.62  26773.24
  233.84   9443.71    994.55  20556.42
  252.20  11583.60    648.31  13429.52
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  601.06      0.00      0.00      0.00
  166.11    706.30      0.00      0.00
   68.90  11441.17    952.19  28471.56
  224.69  10105.67   1253.29  25736.41
  240.30  10314.60   1198.00  24777.50
  237.51   9918.87    939.82  19411.05
  232.06  10063.68    765.27  15831.45
  236.48   9888.99   1079.57  22347.03
  249.07   2740.64    407.70   8418.15
  102.32      2.20      0.58      1.47
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
