    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1414.90  61219.09   1202.02  55238.32
 1449.25  67881.45   1408.42  70362.35
 1376.25  67876.07   1445.40  71320.84
 1394.60  67881.73   1398.64  68977.29
 1492.39  67868.11   1590.45  71267.85
 1490.24  67869.08   1513.84  71701.57
 1353.27  67876.99   1404.00  70185.59
 1382.44  67878.90   1414.26  70427.37
 1459.38  67864.57   1546.67  71665.32
 1539.98  67881.30   1639.90  72065.48
 1340.46  67864.27   1399.25  72047.14
 1522.64  67885.85   1552.29  72057.12
 1544.65  67869.50   1599.95  72043.55
 2007.34  67881.28   2103.82  72060.19
 1871.86  67866.03   1946.67  72039.00
 1738.60  67881.05   1876.09  72062.77
 1951.37  67883.44   2024.44  72042.30
 1820.38  67852.76   1844.22  72045.30
 2073.05  67868.61   2116.32  72013.89
 2153.48  67931.87   1932.39  65099.25
 2113.98  67916.66   2253.06  72070.13
 1970.72  67874.08   2143.56  72062.76
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1845.22  67879.38   1995.96  72045.74
 1995.26  67889.61   2149.58  72051.64
 1862.63  67876.29   2068.20  72060.86
 1935.25  67903.90   1966.52  72068.76
 2037.18  67903.58   2071.14  72050.94
 1984.83  67772.14   1994.82  71932.98
 2031.73  68014.74   2100.63  72179.25
 1885.09  67889.47   2050.43  72072.41
 1987.50  67866.63   2020.02  72026.05
 1862.64  67518.39   2925.75  56816.90
 2205.41  67899.30   2070.72  70975.09
 2008.04  67896.85   2030.61  72061.02
 1971.78  67804.62   2114.89  71947.05
 1960.54  67959.28   2048.32  72160.48
 1813.77  67896.22   1891.31  72076.32
 1808.26  67794.86   1947.92  71982.76
 1720.07  67961.76   1743.87  72122.98
 1791.27  67805.24   1939.15  71964.90
 1853.97  67917.05   1857.84  72103.75
 1755.94  67619.95   1826.36  71783.64
 1818.75  68158.65   1811.42  72354.35
 1691.42  67866.51   1708.39  72032.53
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1713.78  67900.63   1858.88  72065.70
 1263.26  49546.37   1039.38  42965.77
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.00      0.00
    0.00      0.00      0.83      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
