    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1122.54  58096.07    915.58  54909.16
 1257.01  67839.77   1288.33  72056.54
 1190.19  67456.87   1208.54  71382.80
 1276.25  67740.11   1362.32  71941.66
 1098.62  67559.34   1145.17  71655.29
 1399.45  66239.56   1543.36  70502.23
 1241.40  67868.40   1326.35  72045.84
 1373.93  67306.50   1331.23  70765.79
 1302.70  67866.84   1432.63  72044.19
 1163.05  67871.52   1239.21  72049.15
 1204.32  67820.52   1145.10  72009.93
  965.22  67922.21    971.87  72099.28
 1212.70  67869.87   1225.44  70421.28
 1973.02  67866.28   2087.47  70809.19
 2027.57  67855.51   2098.14  72033.63
 2011.41  67891.15   2167.94  72058.75
 1981.83  67872.82   2076.21  72054.22
 2037.86  67869.30   2045.61  72047.49
 2055.11  67851.22   2195.88  72028.33
 2099.36  67879.25   2082.09  72061.00
 2155.21  67881.46   2201.75  70000.13
 1971.14  67866.67   2230.76  72056.71
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 2020.18  67861.77   2202.66  72052.99
 1911.65  67874.22   2020.54  72037.70
 2087.10  67877.58   2197.80  72045.81
 2125.45  67878.34   2099.42  72067.62
 2113.49  67873.48   2120.28  72039.21
 2074.49  67863.18   2118.11  72052.27
 2176.32  67877.58   2284.19  72057.79
 2063.92  67868.35   2234.16  72036.02
 2064.05  67872.21   2251.06  72064.02
 2110.51  67857.99   2165.32  71999.62
 1998.92  67885.49   2202.69  72086.45
 2088.81  67867.41   2138.07  72059.62
 1997.44  67851.69   2007.42  68605.73
 1987.76  67874.67   2104.43  70469.59
 1948.03  67893.02   2158.76  72045.10
 2034.46  67854.10   2123.60  72066.56
 2042.04  67861.98   2101.27  72049.51
 1976.31  67850.04   1954.47  72023.63
 1921.45  67046.49   2053.29  64788.20
 2057.74  67869.20   2156.10  72069.85
 1956.24  67863.75   2044.89  72029.67
 2025.21  67881.65   2074.70  72071.09
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1927.86  67872.85   2008.98  72031.21
  878.62  21390.49    794.00  18144.24
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.33      0.48
    0.83      0.00      0.83      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
