    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1554.17  62059.03      0.00      0.00
 1621.61  67614.27      0.00      0.00
 1625.46  67102.45      1.16      0.00
 1625.06  67889.08      0.00      0.00
 1498.50  67150.16      0.00      0.00
 1608.62  67877.19      0.00      0.00
 1554.90  67870.66      0.00      0.00
 1647.73  67856.56      0.00      0.00
 1625.21  67876.28      0.32      0.00
 1639.13  67874.85      0.00      0.00
 1666.93  67869.49      0.00      0.00
 1684.97  67875.32      0.00      0.00
 1691.99  67866.64      0.00      0.00
 1628.05  67849.65      0.32      0.00
 1604.05  67799.73      0.00      0.00
 1608.48  67964.70      0.00      0.00
 1599.90  67817.97      0.00      0.00
 1515.74  67926.76      0.00      0.00
 1509.63  67868.00      0.83      0.00
 1619.26  67871.52      0.32      0.00
*** network params change on H4 ***
  298.59  15115.59      0.00      0.00
  277.51   3306.70      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  273.58   2788.86      0.00      0.00
  289.31     95.76      0.00      0.00
  114.43     11.97      0.32      0.00
  194.74  11439.96      0.00      0.00
  278.19   3174.27      0.00      0.00
  267.73   4249.40      0.00      0.00
  278.72   4141.54      0.00      0.00
  270.97   3100.16      0.00      0.00
  273.60   4488.81      0.32      0.00
  272.16   3328.02      0.00      0.00
  240.80   4013.54      0.00      0.00
  285.49   4790.63      0.00      0.00
  272.97   5039.85      0.00      0.00
  263.69   3582.05      0.32      0.00
  269.99   3725.31      0.00      0.00
  248.51   3795.10      0.00      0.00
  229.01   3471.43      0.00      0.00
  208.13   4560.25      0.00      0.00
*** network params deleted on H4 ***
 1404.14  57516.28      0.32      0.00
 1621.89  66457.39      0.00      0.00
 1617.34  65737.99      0.00      0.00
 1646.12  67860.40      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1647.20  67881.38      0.00      0.00
 1636.76  67858.03      0.00      0.00
 1642.23  67883.14      0.32      0.00
 1641.68  67875.61      0.00      0.00
 1659.21  67860.16      0.00      0.00
 1644.02  67881.19      0.00      0.00
 1623.14  67865.84      0.83      0.00
 1602.29  67859.07      0.32      0.00
 1638.29  67886.90      0.00      0.00
 1722.14  67857.31      0.00      0.00
 1651.39  67879.17      0.00      0.00
 1575.77  67867.40      0.00      0.00
 1627.51  67869.79      0.00      0.00
 1627.41  67855.35      0.32      0.00
 1657.69  67894.72      0.00      0.00
 1696.62  67866.70      0.00      0.00
  497.78  18609.72      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
