    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1236.95  58977.26   1135.40  56973.52
 1492.33  67306.90   1561.88  71233.04
 1429.20  67834.19   1498.91  71856.12
 1468.90  67879.22   1524.03  72044.62
 1427.66  67871.59   1545.29  72049.22
 1300.22  67868.12   1343.82  72043.31
 1503.45  67872.10   1562.96  72061.00
 1490.19  67862.87   1554.59  72044.40
 1402.65  67880.64   1487.65  72022.19
 1451.49  67870.50   1488.41  72060.04
 1289.00  67861.77   1249.96  72064.97
 1345.34  67879.08   1361.76  72044.47
 1085.72  67855.08   1138.43  72044.40
 1124.99  67881.88   1195.07  72063.10
 1209.55  67872.41   1261.77  72041.80
 1465.23  67869.51   1541.38  72049.22
 1832.34  67861.03   1936.04  72040.22
 1898.42  67864.84   2022.31  72046.48
 1959.09  67872.53   2035.24  72042.13
 2004.82  67865.09   2132.64  72051.30
*** network params change on H4 ***
  287.88  10006.61   1246.53  37237.51
  275.76    107.72      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  197.86   7514.23    957.76  29589.84
  275.37   1771.49     80.84   1675.74
   73.87     23.87      0.32      0.00
   23.06   4848.89    207.44   8473.64
  266.77    598.00    758.00  22353.22
  266.23   5712.82   1100.02  33342.76
  262.26   4129.62   1547.90  52493.52
  245.56   3435.41   1960.13  64737.13
  222.65   4038.50   1862.47  72059.78
  168.76   3834.21   1766.95  72047.13
  164.27   4288.46   1775.04  72041.32
  203.62   4057.70   1756.08  72057.09
  205.70   4162.80   1709.64  72047.59
  175.38   4297.25   1783.14  72023.77
  140.60   4539.32   1801.19  72078.15
  164.09   4335.07   1746.91  72043.54
  207.46   4919.56   1774.48  72057.74
*** network params deleted on H4 ***
  189.23   4129.68   1750.00  71988.08
 1430.16  50875.09   1928.64  72110.95
 1632.92  54479.16   1895.68  72025.65
 1783.75  59685.56   2173.74  68794.12
 1559.59  53120.31   1962.54  69697.45
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1957.82  65915.44   2223.99  70595.42
 1836.76  67860.09   1949.58  72089.37
 1803.41  67848.19   1896.84  72041.66
 1909.15  64136.31   2098.58  72048.52
 1903.95  67890.11   2006.11  72055.44
 1960.22  67870.23   2003.74  72047.78
 1822.46  67762.36   2031.98  71910.10
 2054.16  67989.01   2127.37  72194.10
 1922.71  62987.42   2031.49  72024.29
 2088.64  67891.86   2226.35  72060.24
 2035.25  67860.09   2194.90  72053.42
 1858.80  67871.11   1985.90  72048.72
 1833.44  67874.20   1908.62  72051.26
 1910.32  67870.23   1977.75  72047.78
 1890.56  67870.44   2009.34  72048.00
 2015.93  67869.68   2096.67  72048.67
  588.58  22113.78    549.46  21187.54
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
