    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1479.02  59333.23      0.00      0.00
 1624.82  67304.15      0.00      0.00
 1662.70  67858.55      1.15      0.00
 1646.24  67889.29      0.00      0.00
 1655.88  67862.64      0.00      0.00
 1650.54  67851.27      0.00      0.00
 1651.29  67891.66      0.00      0.00
 1645.44  67874.81      0.00      0.00
 1661.68  67871.18      0.32      0.00
 1669.91  67869.15      0.00      0.00
 1681.24  67871.50      0.00      0.00
 1692.08  67866.84      0.00      0.00
 1673.57  67876.88      0.00      0.00
 1701.43  67865.14      0.32      0.00
 1651.67  67871.86      0.00      0.00
 1636.49  67871.93      0.00      0.00
 1641.78  67868.20      0.00      0.00
 1650.20  67870.84      0.00      0.00
 1672.05  67871.42      0.83      0.00
*** network params change on H4 ***
 1646.71  67873.09      0.32      0.00
  262.49  14430.39      0.00      0.00
  282.38   1807.39      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  267.71   5254.59      0.00      0.00
  276.53   4105.68      0.00      0.00
  281.24   3219.87      0.32      0.00
  278.19   4036.80      0.00      0.00
  266.47   3905.36      0.00      0.00
  265.52   3267.76      0.00      0.00
  276.75   4648.14      0.00      0.00
  282.48   2093.02      0.00      0.00
  270.21   7086.20      0.32      0.00
  261.82   3913.67      0.00      0.00
  286.37   3782.78      0.00      0.00
  267.73   3746.67      0.00      0.00
  280.15   3542.38      0.00      0.00
  250.18   5097.01      0.32      0.00
  256.07   3701.52      0.00      0.00
  208.71   4286.95      0.00      0.00
  198.72   4404.81      0.00      0.00
*** network params deleted on H4 ***
  162.96   4568.92      0.00      0.00
 1223.01  50405.82      0.00      0.00
 1660.53  67871.59      0.32      0.00
 1637.04  67870.98      0.00      0.00
 1652.33  67870.24      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1647.36  67864.79      0.00      0.00
 1641.94  67718.13      0.00      0.00
 1563.05  68029.15      0.32      0.00
 1683.53  67867.59      0.00      0.00
 1702.51  67880.31      0.00      0.00
 1590.64  67866.57      0.00      0.00
 1727.52  67870.07      0.83      0.00
 1654.95  67870.03      0.00      0.00
 1580.53  67867.97      0.32      0.00
 1634.53  67878.81      0.00      0.00
 1735.05  67857.65      0.00      0.00
 1621.57  67880.27      0.00      0.00
 1631.84  67866.14      0.00      0.00
 1600.65  67871.59      0.32      0.00
 1582.80  67876.41      0.00      0.00
 1812.39  67872.33      0.00      0.00
  536.89  20733.88      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
