    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1116.64  54037.98    756.36  45739.86
  952.47  60864.77   1039.78  63091.09
  757.93  60545.32    832.58  63174.58
  874.00  61624.01    953.33  62855.26
 1029.36  60408.64    888.47  61402.28
  926.40  60970.20    926.68  61413.26
 1219.60  63499.41   1180.64  62564.89
  998.80  57556.09   1001.11  63329.66
 1278.05  67648.49   1389.35  71626.41
  883.78  66814.33    944.78  71075.46
  986.93  67023.31   1029.24  71360.84
  760.69  67880.90    771.74  72007.58
  860.43  67855.43    913.48  70850.22
 1175.71  67883.95   1238.96  72045.96
 1067.68  67867.20   1127.00  72046.77
 1177.01  67881.02   1176.91  72057.76
 1306.59  67853.43   1363.13  69422.77
 1801.78  67250.26   1798.20  66114.89
 2182.39  59652.94   1924.98  54527.32
 1959.57  59869.01   2076.77  66022.21
*** network params change on H4 ***
  273.91   3962.06   1781.33  57180.57
  266.14    442.69   2070.92  46253.31
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  260.91   5597.46   1550.49  46045.58
  264.27    107.82   1150.67  23933.30
  277.26   9145.09   2023.44  60975.06
  264.18      0.00   1785.52  72044.11
  105.88    107.73   1775.17  72059.11
    0.00      0.00   1746.93  72043.97
  174.32   4440.81   2062.43  69762.36
  231.46   3785.15   1673.10  72025.67
  144.11   3183.97   1692.78  58397.37
  175.63   4704.05   1764.29  72045.53
  188.22   4528.29   1736.84  72045.29
  157.92   4476.39   1776.40  72053.06
  138.54   4580.43   1756.78  71947.41
  169.55   4452.61   1729.62  72151.41
  128.23   4551.10   1783.29  72039.12
  166.42   4444.81   1752.31  72051.41
  146.11   4502.77   1708.88  72056.37
  180.00   4177.54   1834.10  72047.64
*** network params deleted on H4 ***
 1256.97  46984.21   1857.34  72044.86
 1928.70  67770.65   1989.13  72057.96
 1863.04  67864.47   1877.56  72041.67
 1844.43  67845.55   1927.31  71939.26
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1923.61  66459.43   2015.37  72157.32
 1813.30  63792.53   1950.25  72053.95
 1901.21  67355.80   2081.83  72039.39
 2028.89  66253.25   2070.38  72052.65
 2077.61  67878.84   2209.61  72058.39
 1891.76  67857.92   1994.42  72035.45
 1924.07  67872.13   1945.56  72049.80
 2117.36  67872.55   2158.59  72054.66
 2075.91  67861.83   2031.94  71739.09
 1950.52  67894.84   2259.72  72059.68
 1790.57  67860.91   1884.15  72050.59
 2001.44  65745.38   2015.18  70646.16
 2093.09  67868.93   2085.13  72046.36
 2067.19  67026.75   2063.22  62159.93
 2164.05  67855.77   1992.23  69494.94
 2031.32  67844.79   1979.71  67892.67
  620.17  14236.32    532.98   7809.72
    0.00      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.33      0.48
    0.32      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
