    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1469.57  59445.88      0.00      0.00
 1642.76  67540.24      0.00      0.00
 1576.53  64023.96      1.15      0.00
 1651.69  67868.45      0.00      0.00
 1653.70  67873.17      0.00      0.00
 1628.32  67879.45      0.00      0.00
 1639.20  67861.08      0.00      0.00
 1639.52  67869.19      0.00      0.00
 1570.59  67879.56      0.32      0.00
 1620.07  67863.05      0.00      0.00
 1598.41  67885.47      0.00      0.00
 1697.73  67848.70      0.00      0.00
 1612.00  67881.53      0.00      0.00
 1668.79  66140.67      0.32      0.00
 1619.29  67858.51      0.00      0.00
 1633.48  67880.83      0.00      0.00
 1665.84  67870.78      0.00      0.00
 1665.30  67869.35      0.00      0.00
 1683.06  67871.86      0.83      0.00
*** network params change on H4 ***
 1675.25  67875.29      0.32      0.00
  260.65  12584.68      0.00      0.00
  259.65   2956.49      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  267.70   4376.87      0.00      0.00
  265.11   3826.68      0.00      0.00
  258.28   2957.67      0.32      0.00
  258.20   4189.68      0.00      0.00
  264.93   3221.64      0.00      0.00
  287.63   4298.67      0.00      0.00
  283.11   3961.88      0.00      0.00
  274.98   3517.50      0.00      0.00
  180.55   3997.95      0.32      0.00
  246.47   4069.28      0.00      0.00
  227.31   4692.06      0.00      0.00
  180.03   3983.24      0.00      0.00
  155.68   4632.32      0.00      0.00
  192.91   4752.15      0.32      0.00
  162.58   4524.62      0.00      0.00
  147.86   4272.19      0.00      0.00
  137.22   4430.63      0.00      0.00
*** network params deleted on H4 ***
  193.03   3893.09      0.00      0.00
 1426.50  58074.55      0.32      0.00
 1587.27  64946.33      0.00      0.00
 1499.22  61887.41      0.00      0.00
 1497.08  60900.44      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1599.91  64870.20      0.00      0.00
 1637.47  67867.59      0.00      0.00
 1624.98  67870.05      0.32      0.00
 1662.96  67880.24      0.00      0.00
 1638.60  67860.45      0.00      0.00
 1655.29  67472.32      0.00      0.00
 1690.40  67866.64      0.83      0.00
 1642.11  67881.25      0.32      0.00
 1664.19  67868.16      0.00      0.00
 1658.71  67867.06      0.00      0.00
 1557.46  67813.61      0.00      0.00
 1740.14  67913.44      0.00      0.00
 1665.93  67893.43      0.00      0.00
 1683.09  67865.66      0.32      0.00
 1623.56  67870.91      0.00      0.00
 1642.24  67868.04      0.00      0.00
  579.85  21913.59      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
