    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1529.97  61718.35      0.00      0.00
 1627.05  67319.54      0.00      0.00
 1627.55  67706.10      0.32      0.00
 1611.35  66258.74      0.84      0.00
 1647.87  67868.75      0.00      0.00
 1652.84  67882.47      0.00      0.00
 1645.79  67831.60      0.00      0.00
 1651.18  67908.05      0.00      0.00
 1670.01  67872.86      0.32      0.00
 1682.43  67857.01      0.00      0.00
 1623.50  67776.97      0.00      0.00
 1720.94  67974.37      0.00      0.00
 1710.88  67870.91      0.00      0.00
 1616.10  67880.85      0.32      0.00
 1740.53  67862.48      0.00      0.00
 1655.68  67861.76      0.00      0.00
 1661.14  67873.33      0.00      0.00
 1617.53  67836.79      0.00      0.00
 1710.93  67918.52      0.32      0.00
 1639.58  67868.67      0.83      0.00
*** network params change on H4 ***
  283.44  12770.45      0.00      0.00
  250.91   2861.43      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  284.54   4715.27      0.00      0.00
  254.83   3710.53      0.00      0.00
  286.57   3265.26      0.32      0.00
  277.98   4344.90      0.00      0.00
  265.16   3292.71      0.00      0.00
  268.06   3688.74      0.00      0.00
  276.28   3818.25      0.00      0.00
  260.41   3350.59      0.32      0.00
  237.94   5003.24      0.00      0.00
  215.90   4688.29      0.00      0.00
  241.47   3576.47      0.00      0.00
  221.32   3878.12      0.00      0.00
  142.46   4596.26      0.00      0.00
  187.81   4444.07      0.32      0.00
  176.82   4594.78      0.00      0.00
  152.57   4214.77      0.00      0.00
  151.83   4245.35      0.00      0.00
*** network params deleted on H4 ***
  172.31   4396.90      0.00      0.00
 1221.90  50838.45      0.32      0.00
 1629.08  67872.74      0.00      0.00
 1663.20  67868.85      0.00      0.00
 1593.90  67869.83      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1646.30  67870.30      0.00      0.00
 1738.26  67872.75      0.00      0.00
 1654.25  67868.20      0.32      0.00
 1650.29  67852.37      0.00      0.00
 1686.51  67890.19      0.00      0.00
 1642.75  67872.76      0.00      0.00
 1687.55  67871.87      0.84      0.00
 1616.79  67877.04      0.32      0.00
 1722.17  67869.35      0.00      0.00
 1609.92  67865.33      0.00      0.00
 1623.61  67869.01      0.00      0.00
 1689.29  67870.71      0.00      0.00
 1630.92  67871.72      0.00      0.00
 1690.47  67867.86      0.32      0.00
 1667.47  67832.72      0.00      0.00
 1567.33  67908.76      0.00      0.00
  678.56  24245.61      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
