    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1297.84  58532.15   1117.27  54890.04
 1304.01  67877.25   1330.61  72042.53
 1277.84  67693.11   1345.13  71812.42
 1452.50  67872.16   1487.56  72050.57
 1406.14  67872.00   1505.91  72049.66
 1288.70  67866.32   1314.50  72047.28
 1299.20  67871.86   1372.38  72049.51
 1323.28  67861.04   1410.29  72038.76
 1235.68  67867.19   1141.99  72048.24
 1225.33  67885.53   1296.83  72063.28
 1313.73  67867.19   1422.79  72048.24
 1201.74  67850.46   1198.88  72019.24
 1442.81  67881.12   1528.02  72082.54
 1965.07  67883.80   2009.83  72048.74
 1908.28  67880.58   1974.26  72046.06
 1872.00  67860.03   1940.64  72049.66
 1904.26  67859.75   1957.47  72049.37
 2032.29  67850.94   2166.89  72013.86
 1916.07  67892.24   1963.24  72068.94
 1997.32  67848.19   2169.21  72049.80
*** network params change on H4 ***
  291.55  12520.51    974.96  25941.17
  283.13     95.76    651.92  13502.19
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  181.18     59.85    577.45  12389.27
  176.36   9839.29   1578.19  45144.76
  264.79     35.91    527.51  10928.52
  259.77  10625.17   1327.21  50392.96
  278.76    131.69    609.45  12617.83
  249.39     71.82    140.99   4620.42
    0.00      0.00     14.44    299.24
    0.32      0.00     13.86    287.27
    0.00      0.00    463.55   9582.44
  249.64   8189.49   1366.05  42864.17
  258.09   5347.22    634.87  20765.94
  274.41   1233.29   1031.40  31837.93
   68.15     11.96     36.35   1303.55
    0.32      0.00     14.76    299.35
  195.93   5098.72   1292.69  41865.20
  106.36     83.79    781.85  16205.90
   55.79   2048.41   1408.14  36537.31
  272.38   4488.83   1675.44  58055.48
*** network params deleted on H4 ***
 1129.91  18410.02    888.91  30180.93
 1344.75  50252.52   1476.01  54561.14
 1810.78  67885.77   1947.80  72062.80
 1935.12  67855.38   2042.88  72034.22
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1884.67  67871.37   1961.24  72039.96
 1929.88  67878.76   2076.16  72067.55
 1869.28  67864.84   1946.93  72032.99
 2089.70  67882.47   2231.31  72072.01
 1919.04  67859.65   1976.63  72048.47
 2037.99  67766.19   2081.10  71674.44
 2011.42  67964.31   2098.16  72392.56
 2144.54  67895.48   2201.60  72074.29
 1929.07  67867.18   1933.26  72048.18
 2102.69  67872.29   2143.38  70232.08
 2224.44  67855.61   2113.68  68203.77
 1972.10  67884.02   2041.70  69008.88
 2059.48  67852.76   2247.35  72031.44
 2007.07  66134.21   2090.69  61515.06
 2071.04  67860.61   2063.20  72017.29
 2142.26  67869.88   2143.45  72083.28
  630.56  20906.84    607.94  15608.82
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
