    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1332.60  59008.98   1172.93  57366.13
 1151.01  65004.45   1354.17  69576.67
 1157.87  66619.17   1312.66  70654.16
 1380.05  67810.38   1449.31  71796.41
 1332.21  67516.42   1417.14  71506.30
 1420.25  67013.41   1506.87  70735.69
 1448.65  67856.57   1574.53  72045.98
 1548.00  67891.89   1638.79  72061.01
 1246.08  67870.84   1357.93  72048.43
 1129.75  67881.20   1317.01  72050.40
 1340.73  67859.81   1292.22  72050.90
  955.27  67870.84   1068.04  72048.43
 1223.02  67856.87   1348.52  72023.10
 1888.89  67856.64   1900.13  70884.99
 1621.86  61018.95   1583.91  58574.15
 1779.05  67887.99   1795.04  68666.24
 1953.22  56907.10   1609.83  48730.69
 1805.23  66789.59   1880.71  68884.08
 2162.52  68960.24   2136.59  68637.05
*** network params change on H4 ***
 1908.72  64824.87   1893.79  64705.18
  276.54   6009.26   1336.22  38138.47
  288.25   3782.37     10.39    418.93
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  271.38    191.51      2.89     59.85
  277.57   7516.87    863.79  27673.56
  262.06   5209.10    431.45  17403.90
  277.84   1089.76    924.94  29625.81
  269.91   4189.24   1142.56  31622.69
  267.90   5170.86   1367.43  35848.89
  234.05   3531.02   1918.33  67903.23
  177.60   3043.17   1514.82  49478.14
  147.84   4084.38   1754.96  72045.53
  168.80   4306.48   1795.02  72025.90
  161.94   4273.20   1746.09  72057.88
  144.72   4404.62   1741.27  72065.75
  197.95   4748.84   1793.32  72018.08
  201.39   4325.32   1772.97  72080.70
  138.50   4548.52   1748.81  72046.20
  155.31   4438.11   1743.52  72050.47
  167.59   4459.23   1747.23  71897.67
*** network params deleted on H4 ***
  149.30   4632.82   1750.15  72173.76
 1264.32  44707.95   1937.80  72071.36
 1644.72  59847.72   1973.10  72055.67
 1634.65  57911.91   1871.12  71269.75
 2094.88  66102.79   2154.04  72069.66
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 2004.34  67592.90   2173.10  72045.63
 2020.02  66780.76   2237.39  72047.51
 2010.52  67861.78   2250.38  72040.51
 2006.08  67862.17   2006.81  72039.22
 1927.68  67767.61   2105.37  71938.11
 2022.90  66236.57   2086.52  72172.24
 2048.57  67112.51   2079.74  72060.23
 1997.25  66410.17   2171.09  72040.11
 2037.88  67539.23   2199.73  72044.19
 1629.58  53940.46   1955.45  64398.46
 1822.29  67857.00   1931.68  72011.56
 1912.49  62476.19   2010.14  71567.23
 1929.96  64765.68   1958.55  66968.00
 1991.95  67859.89   1939.59  67476.84
 2040.32  67831.53   2091.03  67328.55
 1554.42  58297.88   1632.91  56849.11
  337.18   4022.01    502.96   5211.52
    0.00      0.00      0.00      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
