    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  254.06   9052.74      0.00      0.00
  238.48   9887.29      0.00      0.00
  288.26   9888.40      0.32      0.00
  260.88   9875.63      0.00      0.00
  239.33   9887.83      0.83      0.00
  238.33   9891.79      0.00      0.00
  238.71   9884.90      0.00      0.00
  269.52   9875.68      0.00      0.00
  262.62   9895.34      0.32      0.00
  265.91   9880.45      0.00      0.00
  277.04   9889.91      0.00      0.00
  258.16   9884.82      0.00      0.00
  275.70   9880.29      0.00      0.00
  238.81   9887.65      0.32      0.00
  275.54   9887.70      0.00      0.00
  271.05   9875.77      0.00      0.00
  256.76   9887.58      0.00      0.00
  240.22   9887.69      0.00      0.00
  261.20   9887.60      0.00      0.00
  287.24   9995.94      0.32      0.00
*** starting mobility***
  254.67  10558.49      0.84      0.00
  292.42  11258.13      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  286.60  11882.08      0.00      0.00
  302.81  12566.19      0.00      0.00
  319.80  13233.60      0.32      0.00
  343.07  14223.36      0.00      0.00
  366.18  15193.72      0.00      0.00
  387.64  16047.44      0.00      0.00
  412.62  17130.89      0.00      0.00
  438.97  18186.24      0.00      0.00
  465.44  19284.82      0.32      0.00
  504.07  20455.50      0.00      0.00
  539.69  21644.66      0.00      0.00
  579.01  22927.50      0.00      0.00
  617.56  24332.63      0.00      0.00
  658.29  25819.93      0.32      0.00
  698.74  27339.90      0.00      0.00
  751.83  28943.92      0.00      0.00
  758.77  30620.42      0.00      0.00
  782.46  32452.32      0.00      0.00
  838.80  34750.96      0.00      0.00
  881.90  36574.87      0.32      0.00
  944.38  39153.47      0.00      0.00
  984.16  40619.03      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1056.15  43775.51      0.00      0.00
 1128.68  46793.11      0.00      0.00
 1186.88  49205.90      0.32      0.00
 1278.34  52987.88      0.00      0.00
 1345.43  55792.72      0.00      0.00
 1418.84  59051.84      0.00      0.00
 1528.52  63371.45      0.00      0.00
 1618.65  67120.26      0.00      0.00
 1705.85  70779.66      1.15      0.00
 1811.95  75098.62      0.00      0.00
 1940.46  80462.44      0.00      0.00
 2041.09  84634.57      0.00      0.00
 2160.76  89822.43      0.00      0.00
 2159.26  94329.09      0.32      0.00
 2076.31  97579.58      0.00      0.00
 2068.88  98833.72      0.00      0.00
 2192.18  94419.28      0.00      0.00
 2250.89  95224.10      0.00      0.00
 2241.54  94967.81      0.00      0.00
 2239.94  95141.84      0.32      0.00
 2252.61  95379.24      0.00      0.00
 2286.80  96110.29      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 2176.61  93080.55      0.00      0.00
 2272.07  89373.19      0.00      0.00
 2132.98  84937.08      0.32      0.00
 1779.43  80731.95      0.00      0.00
 1795.08  76896.80      0.00      0.00
 1707.54  71320.11      0.00      0.00
 1497.30  67247.16      0.00      0.00
 1515.27  63275.02      0.00      0.00
 1311.68  59836.34      0.32      0.00
 1277.14  56081.48      0.00      0.00
 1286.28  53008.96      0.00      0.00
 1195.03  50088.06      0.00      0.00
 1131.32  46986.29      0.00      0.00
 1069.00  44320.24      0.32      0.00
 1009.99  41678.04      0.00      0.00
  948.78  39323.76      0.00      0.00
  894.12  37093.84      0.00      0.00
  842.24  34918.92      0.00      0.00
  796.04  32990.24      0.32      0.00
  759.40  31472.28      0.00      0.00
  711.75  29495.75      0.00      0.00
  677.39  28096.11      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  629.94  26116.87      0.00      0.00
  592.77  24550.71      0.00      0.00
  557.72  23134.68      0.32      0.00
  530.65  22000.44      0.00      0.00
  499.19  20696.29      0.00      0.00
  480.72  19918.58      0.00      0.00
  449.85  18638.50      0.00      0.00
  419.22  17379.23      0.32      0.00
  400.69  16636.44      0.00      0.00
  374.19  15489.69      0.00      0.00
  353.40  14639.79      0.00      0.00
  329.72  13682.02      0.00      0.00
  310.14  12856.77      0.00      0.00
  297.52  12335.06      0.32      0.00
  495.51  11539.24      0.00      0.00
  425.29  10860.11      0.00      0.00
  563.59  10450.38      0.00      0.00
  379.73   9432.79      0.00      0.00
  215.13   8905.90      0.32      0.00
  243.83   8348.49      0.00      0.00
  296.52   7960.38      0.00      0.00
  279.74   7378.47      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  185.04   7147.15      0.00      0.00
  160.42   6625.74      0.00      0.00
  152.46   6332.83      0.32      0.00
  139.73   5805.09      0.00      0.00
  176.39   5493.89      0.00      0.00
  180.08   5171.30      0.83      0.00
  118.12   4872.01      0.00      0.00
  110.29   4572.72      0.32      0.00
  157.28   4333.25      0.00      0.00
  141.65   4121.89      0.00      0.00
   96.47   4011.40      0.00      0.00
  150.61   4009.35      0.00      0.00
  122.77   3997.62      0.00      0.00
*** stopping mobility***
  117.75   4010.13      0.32      0.00
  141.19   2554.54      0.00      0.00
    0.00      0.00      0.00      0.00
    0.33      0.48      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00      0.00      0.00
