    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  273.12   9171.96      0.00      0.00
  294.77   9894.61      0.00      0.00
  242.53   9875.42      0.00      0.00
  258.13   9892.95      1.16      0.00
  239.04   9886.64      0.00      0.00
  265.21   9879.10      0.00      0.00
  280.90   9887.79      0.00      0.00
  238.86   9889.58      0.00      0.00
  237.91   9875.48      0.32      0.00
  265.47   9887.35      0.00      0.00
  259.36   9887.90      0.00      0.00
  260.02   9887.33      0.00      0.00
  260.77   9886.94      0.00      0.00
  238.22   9887.29      0.00      0.00
  238.48   9875.14      0.32      0.00
  266.23   9887.35      0.00      0.00
  273.94   9892.80      0.00      0.00
  279.32   9874.09      0.00      0.00
  285.12   9886.10      0.00      0.00
  266.02   9887.54      1.15      0.00
*** starting mobility***
  253.49  10485.80      0.00      0.00
  278.11  11383.92      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  331.62  12089.72      0.00      0.00
  304.55  12638.31      0.00      0.00
  328.88  13622.12      0.32      0.00
  349.00  14481.41      0.00      0.00
  368.19  15264.90      0.00      0.00
  392.10  16244.08      0.00      0.00
  415.29  17205.89      0.00      0.00
  434.18  18035.63      0.00      0.00
  471.62  19529.24      0.32      0.00
  498.35  20649.40      0.00      0.00
  544.06  21886.14      0.00      0.00
  583.16  23255.94      0.00      0.00
  622.42  24463.29      0.00      0.00
  656.87  25879.50      0.32      0.00
  695.22  27458.74      0.00      0.00
  747.32  29066.59      0.00      0.00
  792.23  31181.69      0.00      0.00
  798.03  33086.07      0.00      0.00
  843.96  34953.10      0.00      0.00
  893.54  37057.70      0.32      0.00
  933.18  38677.00      0.00      0.00
 1008.23  41824.68      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1080.44  44710.58      0.00      0.00
 1138.16  47043.69      0.00      0.00
 1206.02  49963.60      0.00      0.00
 1278.07  52988.18      0.32      0.00
 1342.64  55641.28      0.00      0.00
 1441.79  59799.69      0.00      0.00
 1548.34  64181.26      0.00      0.00
 1641.41  68002.86      0.83      0.00
 1730.86  71676.65      0.32      0.00
 1846.27  76557.54      0.00      0.00
 1942.23  80547.83      0.00      0.00
 2074.29  86022.74      0.00      0.00
 2161.36  90183.32      0.00      0.00
 2194.34  95678.62      0.32      0.00
 2021.14  99728.54      0.00      0.00
 2235.18  97342.55      0.00      0.00
 2152.35  94226.06      0.00      0.00
 2231.42  94813.13      0.00      0.00
 2246.70  95631.57      0.00      0.00
 2211.55  94753.28      0.32      0.00
 2246.09  94283.15      0.00      0.00
 2219.73  94082.12      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 2215.23  93374.57      0.00      0.00
 2267.46  87662.46      0.00      0.00
 2020.31  83005.36      0.32      0.00
 1916.10  79452.66      0.00      0.00
 1803.89  74776.36      0.00      0.00
 1689.38  70040.81      0.00      0.00
 1594.05  66100.61      0.00      0.00
 1500.52  62185.52      0.00      0.00
 1421.10  58917.93      0.32      0.00
 1356.49  56239.42      0.00      0.00
 1290.61  53520.02      0.00      0.00
 1211.37  50198.87      0.00      0.00
 1126.16  46713.84      0.00      0.00
 1060.56  43933.23      0.32      0.00
 1000.73  41513.62      0.00      0.00
  948.74  39322.19      0.00      0.00
  886.95  36760.45      0.00      0.00
  841.41  34896.21      0.00      0.00
  797.78  33062.36      0.00      0.00
  759.25  31477.98      0.32      0.00
  700.29  29033.45      0.00      0.00
  661.74  27447.21      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  639.70  26521.79      0.00      0.00
  596.79  24742.47      0.00      0.00
  552.62  22898.16      0.32      0.00
  520.77  21590.64      0.00      0.00
  498.59  20647.21      0.00      0.00
  466.01  19332.32      0.00      0.00
  438.51  18192.22      0.00      0.00
  421.28  17428.74      0.00      0.00
  395.57  16424.23      0.32      0.00
  372.76  15429.41      0.00      0.00
  346.48  14352.93      0.00      0.00
  329.35  13666.76      0.00      0.00
  313.55  12999.68      0.00      0.00
  425.29  12042.59      0.32      0.00
  683.57  11407.94      0.00      0.00
  578.85  10597.99      0.00      0.00
  275.97   9971.22      0.00      0.00
  355.95   9307.39      0.00      0.00
  211.66   8750.26      0.00      0.00
  201.58   8357.53      0.32      0.00
  187.74   7771.56      0.00      0.00
  363.22   7493.47      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  242.01   6942.84      0.00      0.00
  158.85   6585.83      0.00      0.00
  277.32   6152.76      0.32      0.00
  262.71   5733.57      0.00      0.00
  130.51   5410.72      0.00      0.00
  174.65   5186.64      0.84      0.00
  131.92   4740.23      0.00      0.00
  130.03   4441.01      0.00      0.00
  101.06   4201.67      0.32      0.00
   97.01   4010.00      0.00      0.00
   96.43   4009.95      0.00      0.00
  114.01   3997.80      0.00      0.00
  143.61   4010.97      0.00      0.00
*** stopping mobility***
   96.51   4013.19      0.32      0.00
   96.49   4000.41      0.00      0.00
   57.10   2311.13      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00      0.00      0.00
