    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  314.42   9098.51    467.52  15690.29
  256.14   9889.88    449.94  19085.31
  266.40   9888.28    427.81  19082.22
  242.17   9889.61    419.39  19073.67
  232.12   9863.06    458.17  19079.76
  234.03   9904.93    433.68  19067.73
  282.52   9880.32    476.02  19089.98
  266.08   9885.98    440.04  19077.80
  226.85   9882.74    430.26  19082.67
  232.24   9867.92    439.63  19029.28
  261.71   9910.98    450.39  19127.71
  269.91   9884.22    449.65  19073.56
  249.41   9882.02    436.89  19082.10
  265.96   9887.27    446.93  19080.27
  242.48   9885.59    459.88  19065.07
  228.08   9887.11    433.65  19091.94
  267.17   9886.44    450.94  19066.70
  279.07   9879.17    458.18  19087.75
  279.45   9888.98    468.38  19059.63
  233.86  10078.76    432.68  19092.19
*** starting mobility***
  282.35  10719.18    467.59  20096.96
  302.94  11311.33    482.14  21222.21
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  302.03  12130.90    526.27  22501.45
  289.88  12796.20    533.56  23880.65
  322.52  13621.61    598.97  25363.97
  341.87  14209.61    637.28  26898.90
  366.15  15416.26    647.85  28496.72
  379.59  16272.51    678.70  30329.85
  388.83  17198.45    720.16  32157.27
  385.55  18314.63    716.67  33759.41
  415.22  19595.96    729.75  35540.88
  451.07  20783.48    811.04  37774.01
  514.04  21825.34    874.91  39867.46
  537.76  23401.42    921.29  42457.71
  537.37  24566.91    963.32  44498.32
  571.71  26395.17    990.53  47212.03
  605.74  28082.08   1001.18  49574.93
  741.33  29542.78   1226.84  52430.06
  744.39  31245.41   1283.02  54571.64
  754.41  33337.80   1236.20  56987.99
  799.73  35502.66   1346.15  59849.40
  831.49  37040.99   1358.43  62596.40
  855.77  39521.47   1355.36  64966.64
  840.12  42334.92   1230.42  67704.75
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1143.87  44799.78   1465.19  65059.89
 1202.02  46971.48   1604.34  63131.14
 1362.82  50075.36   1729.28  68087.60
 1342.95  52730.15   1615.13  62585.60
 1545.57  57651.21   1634.04  58885.21
 1689.06  60688.36   1804.62  58607.46
 1600.51  63196.43   1645.76  66390.95
 1533.95  54168.74   1387.25  49823.87
 1880.42  64510.74   1708.93  56267.99
 1703.24  63973.83   1763.07  64388.12
 2012.18  69032.66   1797.93  62256.66
 2144.48  79016.97   1786.87  65430.02
 2233.29  84914.04   1494.03  56650.87
 2337.11  87663.34   1211.76  40638.26
 2372.49  85759.31   1188.74  40817.02
 2241.42  92164.58    132.90   5170.83
 2294.09  95351.74    594.42  22044.85
 2216.05  85897.20    833.78  31435.16
 2289.92  92073.54    655.92  24856.12
 2246.57  90686.39    693.37  24720.84
 2372.39  89929.02    650.05  24166.95
 2696.98  87400.58    881.51  33088.67
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 2385.05  85945.31    855.82  33970.32
 1856.91  82002.63    937.74  36264.67
 1824.14  74274.30    934.83  37212.58
 2117.61  75011.71    886.24  35294.27
 1806.38  73792.17    871.18  33747.93
 1662.20  69564.88    781.90  31772.58
 1717.32  65542.15    775.80  29994.94
 1529.11  62484.32    690.59  28213.06
 1445.45  58643.93    665.91  26701.63
 1346.72  55411.37    610.91  25315.84
 1258.54  51933.71    578.02  23976.51
 1202.23  49448.21    553.83  22554.42
 1126.30  46292.18    515.92  21389.87
 1087.27  43802.72    491.24  20050.21
  987.14  40920.51    469.58  19073.29
  940.36  38620.08    439.09  18017.12
  893.94  37050.40    414.73  16974.95
  838.30  34385.71    396.80  16032.79
  784.27  32476.53    375.45  15370.48
  778.79  30617.36    371.52  14478.71
  701.02  28832.43    333.18  13658.04
  689.28  27449.21    350.71  13014.38
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  655.80  25816.12    324.80  12155.30
  631.60  24419.60    292.67  11636.42
  618.20  20019.36    489.74  11106.97
  347.19  14214.52    382.99  10144.01
  495.06  20337.58    410.39   9516.41
  556.02  19132.08    362.09   8986.15
  434.84  18028.24    203.85   8475.43
  417.79  17319.86    191.12   7899.87
  388.09  16089.98    233.76   7518.23
  364.66  15202.61    347.95   7259.87
  361.75  14690.80    161.14   6645.47
  331.49  13560.13    151.27   6259.44
  303.98  12865.09    317.56   6039.44
  321.86  11898.24    175.16   5673.81
  630.57  11311.91    297.04   5266.92
  363.52  10700.37    138.46   4883.39
  459.05   9922.29    112.01   4632.00
  416.05   9288.71    227.26   4369.05
  378.28   8678.17    129.36   4105.67
  307.42   8253.39    155.06   3893.11
  254.71   7732.96    108.84   3698.89
  267.77   7171.19     83.74   3471.86
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  162.78   6725.00     77.93   3242.84
  152.54   6348.31     75.12   3090.31
  179.89   5973.11    106.13   2908.75
  183.90   5577.29     99.40   2752.74
  126.35   5262.26     61.73   2559.37
  142.52   4953.95     59.71   2429.11
  114.33   4752.15     55.43   2310.24
  127.62   4384.23     52.58   2168.16
   99.89   4129.27     49.97   2070.62
   96.42   4009.70     47.92   1986.89
   96.40   4008.76     45.60   1890.70
   96.36   3983.07     45.31   1878.58
*** stopping mobility***
   97.89   4033.07     45.61   1902.84
   98.08   4010.89     45.95   1879.73
   77.97   1694.54     45.53   1899.52
    1.25      2.20     35.76   1448.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
