    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  224.18   8970.79    357.08  15518.29
  225.29   9875.08    426.32  19055.91
  231.78   9895.42    438.68  19096.85
  411.64   9879.29    644.10  19088.00
  247.12   9886.54    474.13  19030.99
  276.41   9888.50    456.54  19118.12
  284.24   9880.73    484.14  19078.78
  266.38   9884.55    464.79  19086.17
  294.37   9888.59    464.51  19070.86
  238.49   9887.63    460.55  19080.98
  257.98   9874.32    460.17  19078.39
  238.48   9887.36    460.22  19080.45
  299.37   9887.64    460.23  19081.00
  238.79   9886.98    460.20  19079.72
  238.54   9889.92    460.66  19073.41
  263.64   9884.67    457.81  19076.09
  260.74   9877.82    462.07  19085.15
  289.52   9886.93    460.20  19079.63
  268.48   9884.55    460.67  19075.03
  255.42   9946.06    465.14  19078.23
*** starting mobility***
  268.51  10545.84    476.14  19715.10
  297.01  11177.02    504.50  20916.48
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  286.58  11893.46    534.45  22169.98
  303.09  12565.86    564.03  23396.44
  323.90  13403.56    601.52  24938.53
  348.07  14231.49    637.73  26414.51
  406.48  15062.13    685.61  27940.14
  388.53  16048.39    720.48  29751.15
  409.40  16973.41    765.56  31528.88
  434.76  18011.96    810.62  33436.20
  453.55  18790.78    849.24  34984.36
  483.24  20034.86    904.98  37293.08
  520.85  21594.18    938.34  38903.04
  563.13  22745.18   1018.54  41669.56
  587.82  24080.13   1079.42  43983.33
  632.41  25823.39   1131.24  46211.54
  668.81  27361.67   1201.86  48990.07
  747.92  28889.29   1319.32  51564.93
  774.65  30093.62   1310.67  52999.27
  804.16  32346.78   1370.25  56427.16
  849.25  34475.00   1439.53  59510.70
  909.76  36942.71   1509.18  61990.44
  945.73  39209.40   1572.35  64598.50
 1033.64  41376.21   1629.04  67020.84
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1092.14  44206.93   1692.30  69440.67
 1170.41  46755.52   1672.75  72060.47
 1261.99  48904.08   1598.57  64882.79
 1501.66  52895.17   1752.56  67067.28
 1422.13  56350.70   1740.19  57910.80
 1635.01  59682.69   1750.02  72966.10
 1551.48  61682.73   1728.36  60946.46
 1440.89  56724.77   1429.06  55348.66
 1551.48  57543.62   1544.97  57513.56
 1458.08  56011.47   1452.17  55943.75
 1571.32  62553.20   1574.86  62607.33
 1627.75  64044.54   1627.49  63979.94
 1514.66  60704.69   1512.26  60700.05
 1601.64  62140.23   1568.90  62176.17
 1527.54  61402.63   1540.73  60969.53
 1585.52  63589.11   1457.22  59029.20
 1515.67  62264.87   1424.87  57537.80
 1563.80  64595.44   1353.30  55016.78
 1561.89  63929.80   1296.11  52822.06
 1763.93  71648.80   1226.71  49159.53
 1706.10  68228.20   1166.73  46979.74
 3264.36  75288.17   1154.82  44484.05
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 3353.32  73122.79   1078.13  42215.50
 2035.59  78449.13    991.10  40164.43
 2015.05  80939.45    937.34  38240.27
 1955.37  79528.40    894.07  36157.16
 1842.97  75109.21    836.46  34125.72
 1740.62  70700.68    813.15  32607.93
 1652.34  66954.59    762.75  30272.49
 1540.55  63284.97    704.76  28861.84
 1456.11  60256.58    655.78  27236.22
 1368.38  56575.20    622.52  25727.05
 1298.82  52965.31    600.65  24321.98
 1220.66  49943.63    559.53  23164.64
 1151.90  47071.93    542.21  21861.03
 1085.44  44789.23    502.04  20571.63
 1026.62  42149.56    489.16  19457.56
  971.83  39994.29    450.95  18412.96
  897.38  37449.71    423.09  17541.26
  860.47  35183.87    395.01  16386.88
  817.82  33474.77    377.46  15437.92
  761.14  31361.15    359.48  14878.59
  720.13  29398.70    348.66  13980.95
  694.25  28577.35    327.63  13370.18
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  639.43  26127.92    309.66  12447.57
  594.21  24633.60    292.02  11901.49
  505.28  14755.34    565.01  11270.11
  368.62  15091.21    470.36  10589.07
  647.49  20869.29    601.18  10036.76
