('30.60', '10.20', '0.00')
('31.20', '10.40', '0.00')
('31.80', '10.60', '0.00')
('32.40', '10.80', '0.00')
('33.00', '11.00', '0.00')
('33.60', '11.20', '0.00')
('34.20', '11.40', '0.00')
('34.80', '11.60', '0.00')
('35.40', '11.80', '0.00')
('36.00', '12.00', '0.00')
('36.60', '12.20', '0.00')
('37.20', '12.40', '0.00')
('37.80', '12.60', '0.00')
('38.40', '12.80', '0.00')
('39.00', '13.00', '0.00')
('39.60', '13.20', '0.00')
('40.20', '13.40', '0.00')
('40.80', '13.60', '0.00')
('41.40', '13.80', '0.00')
('42.00', '14.00', '0.00')
('43.20', '14.40', '0.00')
('43.80', '14.60', '0.00')
('44.40', '14.80', '0.00')
('45.00', '15.00', '0.00')
('45.60', '15.20', '0.00')
('46.20', '15.40', '0.00')
('46.80', '15.60', '0.00')
('47.40', '15.80', '0.00')
('48.00', '16.00', '0.00')
('48.60', '16.20', '0.00')
('49.20', '16.40', '0.00')
('49.80', '16.60', '0.00')
('50.40', '16.80', '0.00')
('51.00', '17.00', '0.00')
('51.60', '17.20', '0.00')
('52.20', '17.40', '0.00')
('52.80', '17.60', '0.00')
('53.40', '17.80', '0.00')
('54.00', '18.00', '0.00')
('54.60', '18.20', '0.00')
('55.20', '18.40', '0.00')
('55.80', '18.60', '0.00')
('56.40', '18.80', '0.00')
('57.00', '19.00', '0.00')
('57.60', '19.20', '0.00')
('58.20', '19.40', '0.00')
('58.80', '19.60', '0.00')
('60.00', '20.00', '0.00')
('60.60', '20.20', '0.00')
('61.20', '20.40', '0.00')
('61.80', '20.60', '0.00')
('62.40', '20.80', '0.00')
('63.00', '21.00', '0.00')
('63.60', '21.20', '0.00')
('64.20', '21.40', '0.00')
('64.80', '21.60', '0.00')
('65.40', '21.80', '0.00')
('66.00', '22.00', '0.00')
('66.60', '22.20', '0.00')
('67.20', '22.40', '0.00')
('67.80', '22.60', '0.00')
('68.40', '22.80', '0.00')
('69.00', '23.00', '0.00')
('69.60', '23.20', '0.00')
('70.20', '23.40', '0.00')
('70.80', '23.60', '0.00')
('71.40', '23.80', '0.00')
('72.00', '24.00', '0.00')
('72.60', '24.20', '0.00')
('73.20', '24.40', '0.00')
('73.80', '24.60', '0.00')
('74.40', '24.80', '0.00')
('75.00', '25.00', '0.00')
('75.60', '25.20', '0.00')
('76.20', '25.40', '0.00')
('76.80', '25.60', '0.00')
('78.00', '26.00', '0.00')
('78.60', '26.20', '0.00')
('79.20', '26.40', '0.00')
('79.80', '26.60', '0.00')
('80.40', '26.80', '0.00')
('81.00', '27.00', '0.00')
('81.60', '27.20', '0.00')
('82.20', '27.40', '0.00')
('82.80', '27.60', '0.00')
('83.40', '27.80', '0.00')
('84.00', '28.00', '0.00')
('84.60', '28.20', '0.00')
('85.20', '28.40', '0.00')
('85.80', '28.60', '0.00')
('87.00', '29.00', '0.00')
('87.60', '29.20', '0.00')
('88.20', '29.40', '0.00')
('88.80', '29.60', '0.00')
('89.40', '29.80', '0.00')
('90.00', '30.00', '0.00')
('90.00', '30.00', '0.00')
('90.00', '30.00', '0.00')
('90.00', '30.00', '0.00')
('90.00', '30.00', '0.00')
