    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  632.22  24916.14      0.00      0.00
  709.74  28191.54      0.00      0.00
  712.42  28190.59      1.15      0.00
  718.53  28194.33      0.00      0.00
  712.40  28194.44      0.00      0.00
  718.91  28192.62      0.00      0.00
  708.59  28191.82      0.00      0.00
  712.08  28191.94      0.00      0.00
  707.77  28194.05      0.32      0.00
  679.72  28192.81      0.00      0.00
  680.26  28191.34      0.00      0.00
  680.05  28194.41      0.00      0.00
  680.02  28192.16      0.00      0.00
  679.99  28192.22      0.32      0.00
  680.23  28190.13      0.00      0.00
  680.79  28189.26      0.00      0.00
  683.68  28201.29      0.00      0.00
  680.47  28187.82      0.00      0.00
  686.48  28188.67      0.83      0.00
  680.44  28200.14      0.32      0.00
  680.19  28188.39      0.00      0.00
  680.17  28199.32      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  680.16  28187.04      0.00      0.00
  679.97  28189.94      0.00      0.00
  680.18  28200.08      0.32      0.00
  684.41  28187.86      0.00      0.00
  677.34  28189.71      0.00      0.00
  682.69  28196.22      0.00      0.00
  680.31  28193.15      0.00      0.00
  679.92  28187.63      0.00      0.00
  680.14  28198.11      0.32      0.00
  680.24  28190.22      0.00      0.00
  683.09  28196.81      0.00      0.00
  681.23  28195.43      0.00      0.00
  679.32  28186.98      0.00      0.00
  677.07  28190.03      0.32      0.00
  688.37  28200.50      0.00      0.00
  679.96  28190.67      0.00      0.00
  680.23  28189.88      0.00      0.00
  680.15  28198.67      0.00      0.00
  679.96  28189.29      0.00      0.00
  680.21  28189.09      0.32      0.00
  680.22  28189.69      0.00      0.00
  692.62  28201.29      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  680.80  28189.57      0.00      0.00
  649.40  26857.01      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.83      0.00
    1.15      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
