    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  642.31  25190.36      0.00      0.00
  709.96  28188.45      0.00      0.00
  715.14  28190.22      0.32      0.00
  705.56  28198.16      0.84      0.00
  713.11  28188.78      0.00      0.00
  713.48  28191.72      0.00      0.00
  711.40  28189.52      0.00      0.00
  714.61  28201.51      0.00      0.00
  704.48  28190.05      0.32      0.00
  679.98  28191.63      0.00      0.00
  680.22  28189.54      0.00      0.00
  679.56  28198.11      0.00      0.00
  680.54  28189.77      0.00      0.00
  680.17  28199.40      0.32      0.00
  680.21  28189.38      0.00      0.00
  681.38  28189.88      0.00      0.00
  687.78  28187.86      0.00      0.00
  685.00  28200.08      0.00      0.00
  681.66  28189.26      0.32      0.00
  679.53  28196.78      0.84      0.00
  679.63  28188.95      0.00      0.00
  680.80  28189.80      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  679.62  28200.64      0.00      0.00
  677.43  28180.51      0.00      0.00
  687.72  28197.26      0.32      0.00
  684.58  28198.98      0.00      0.00
  680.23  28190.08      0.00      0.00
  680.23  28190.05      0.00      0.00
  684.22  28196.02      0.00      0.00
  684.34  28195.49      0.32      0.00
  680.49  28188.75      0.00      0.00
  680.21  28189.12      0.00      0.00
  679.62  28200.53      0.00      0.00
  680.21  28189.18      0.00      0.00
  680.54  28189.77      0.00      0.00
  679.58  28198.84      0.32      0.00
  686.53  28191.01      0.00      0.00
  683.16  28193.56      0.00      0.00
  689.41  28188.22      0.00      0.00
  684.97  28191.23      0.00      0.00
  679.86  28197.51      0.32      0.00
  680.02  28193.09      0.00      0.00
  680.00  28192.41      0.00      0.00
  680.03  28193.63      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  680.31  28193.12      0.00      0.00
  486.04  20075.43      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    1.15      0.00      0.00      0.00
    0.00      0.00      1.15      0.00
    0.00      0.00      0.00      0.00
