    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  663.91  25751.06      0.00      0.00
  710.57  28191.35      0.00      0.00
  708.04  28182.66      1.15      0.00
  714.17  28207.89      0.00      0.00
  711.67  28192.81      0.00      0.00
  715.11  28186.57      0.00      0.00
  706.14  28198.05      0.00      0.00
  718.55  28192.58      0.00      0.00
  707.89  28187.77      0.32      0.00
  679.58  28198.98      0.00      0.00
  689.62  28188.45      0.00      0.00
  684.46  28190.02      0.00      0.00
  679.88  28198.25      0.00      0.00
  684.54  28193.40      0.32      0.00
  681.39  28190.05      0.00      0.00
  685.41  28189.32      0.00      0.00
  687.16  28197.91      0.00      0.00
  680.82  28190.56      0.00      0.00
  679.57  28186.76      0.83      0.00
  681.40  28202.65      0.32      0.00
  680.23  28189.85      0.00      0.00
  680.22  28189.71      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  679.50  28195.57      0.00      0.00
  680.34  28193.43      0.00      0.00
  690.43  28190.39      0.32      0.00
  679.78  28195.43      0.00      0.00
  680.19  28188.53      0.00      0.00
  679.60  28199.68      0.00      0.00
  678.66  28184.61      0.00      0.00
  682.00  28190.42      0.00      0.00
  679.60  28199.82      0.32      0.00
  680.20  28188.90      0.00      0.00
  680.44  28197.15      0.00      0.00
  679.71  28192.67      0.00      0.00
  679.43  28191.57      0.00      0.00
  678.30  28193.85      0.32      0.00
  682.35  28182.18      0.00      0.00
  680.17  28199.32      0.00      0.00
  680.23  28190.05      0.00      0.00
  681.69  28198.95      0.00      0.00
  687.63  28192.45      0.32      0.00
  680.05  28194.47      0.00      0.00
  679.97  28179.07      0.00      0.00
  689.44  28204.95      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  680.80  28189.71      0.00      0.00
  497.56  20538.40      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
