    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  640.31  25137.63    602.16  24527.15
  702.93  28198.08    757.39  29933.53
  700.82  28199.18    752.99  29922.73
  702.91  28189.28    749.63  29926.40
  708.82  28186.20    748.83  29913.58
  715.03  28197.92    797.83  29926.72
  687.47  28195.32    729.26  29920.09
  688.06  28190.61    725.61  29927.81
  692.03  28197.04    728.94  29921.92
  685.82  28187.10    704.41  29922.61
  676.83  28200.95    705.61  29924.61
  678.48  28185.93    714.32  29922.85
  682.38  28194.16    725.97  29918.87
  672.89  28189.24    724.21  29924.88
  688.21  28197.54    734.05  29922.46
  697.70  28192.24    731.52  29917.56
  684.46  28193.71    721.32  29929.63
  679.71  28192.44    736.43  29917.77
  692.86  28191.06    722.13  29916.31
  693.63  28191.20    736.98  29927.70
  694.51  28193.34    727.01  29918.00
  684.18  28194.27    726.36  29930.96
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  697.87  28193.26    732.56  29917.91
  684.83  28191.94    734.26  29927.75
  687.34  28186.27    754.47  29923.20
  694.00  28198.42    735.87  29922.65
  697.04  28193.20    741.82  29917.85
  699.95  28189.85    753.31  29927.00
  699.86  28198.13    747.76  29923.08
  691.23  28190.02    739.97  29913.74
  689.77  28190.98    735.14  29926.73
  713.00  28189.12    761.67  29924.76
  708.00  28198.33    744.13  29902.63
  706.82  28191.83    740.13  29939.60
  732.59  28190.55    777.96  29927.75
  707.60  28196.92    767.03  29920.82
  706.51  28186.56    733.19  29922.77
  699.37  28194.44    742.42  29919.17
  690.35  28191.01    738.38  29926.76
  713.23  28198.22    755.84  29920.79
  706.77  28189.40    759.41  29925.06
  695.16  28199.12    734.72  29922.67
  704.52  28186.33    721.75  29923.26
  688.94  28196.39    730.73  29920.72
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  696.92  28189.70    719.91  29923.16
  552.50  22196.92    560.26  22462.78
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.84      0.00      0.84      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
