    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  653.68  25837.63    616.62  25020.99
  709.12  28193.49    740.78  29930.13
  710.31  28183.70    743.05  29917.53
  710.90  28197.63    743.73  29921.08
  705.62  28189.03    744.50  29926.14
  681.01  28197.21    728.09  29922.07
  685.49  28188.90    744.86  29924.52
  681.65  28199.60    731.26  29923.17
  691.46  28189.78    737.49  29924.58
  681.98  28190.56    730.76  29914.31
  709.10  28194.13    738.77  29930.82
  695.20  28192.93    731.81  29917.42
  692.17  28189.95    728.14  29924.76
  694.65  28189.29    749.53  29924.94
  698.55  28199.25    758.68  29921.88
  731.02  28186.74    750.97  29921.95
  695.28  28201.22    731.29  29924.01
  684.27  28185.94    736.03  29921.38
  695.58  28200.44    740.30  29924.07
  698.73  28188.63    745.60  29922.62
  704.49  28195.58    741.29  29920.32
  713.06  28186.94    748.84  29920.59
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  700.90  28202.40    742.29  29925.27
  707.35  28188.93    745.59  29924.55
  689.69  28192.26    746.59  29918.58
  690.63  28182.66    720.01  29919.38
  741.95  28204.15    775.49  29928.59
  697.33  28186.42    731.41  29922.49
  700.53  28191.44    739.13  29914.37
  682.25  28201.64    740.41  29924.46
  694.38  28190.25    742.58  29925.95
  704.08  28186.90    750.19  29922.40
  694.98  28201.11    725.88  29923.03
  686.78  28188.35    739.67  29927.79
  700.13  28198.36    724.00  29920.69
  685.47  28187.54    733.64  29924.55
  694.46  28195.43    738.24  29918.55
  691.56  28189.40    740.44  29925.06
  697.54  28193.71    748.01  29917.66
  693.16  28191.77    752.07  29928.30
  689.46  28196.56    736.36  29921.41
  684.87  28186.69    730.71  29923.65
  698.79  28186.82    735.19  29921.58
  691.09  28201.94    727.10  29926.14
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  719.12  28195.81    744.85  29919.73
  685.32  28193.07    731.33  29917.56
  582.31  23885.90    317.41  13077.47
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.84      0.00      0.84      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
