    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  677.92  26170.32    627.24  25498.17
  680.35  28191.46    724.84  29927.97
  660.54  28188.05    697.47  29911.65
  690.48  28200.36    717.83  29937.43
  643.70  28184.55    686.55  29921.38
  656.27  28197.83    702.78  29922.73
  683.55  28197.74    717.66  29922.67
  670.99  28189.31    718.25  29914.45
  691.31  28190.66    709.84  29927.87
  701.51  28194.70    716.06  29919.44
  710.59  28190.92    763.84  29928.14
  733.64  28189.60    778.24  29925.27
  714.86  28190.05    751.91  29913.77
  695.01  28199.29    741.68  29924.31
  684.36  28189.76    721.84  29926.91
  689.07  28189.43    757.75  29925.09
  713.33  28198.42    735.68  29922.65
  698.70  28194.22    740.12  29918.93
  690.77  28187.85    741.77  29924.88
  689.07  28197.35    729.63  29922.25
  689.27  28185.96    750.37  29922.14
  712.76  28194.98    756.88  29919.73
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  684.68  28190.78    727.71  29927.26
  709.65  28196.84    743.21  29921.71
  694.05  28193.04    748.46  29916.94
  698.21  28189.37    747.06  29925.76
  698.49  28201.29    731.31  29924.97
  702.25  28189.91    735.46  29925.60
  685.05  28186.79    731.15  29922.28
  693.99  28198.84    737.96  29922.37
  684.49  28191.06    722.19  29916.31
  680.21  28189.35    725.93  29925.00
  684.14  28192.53    735.17  29917.13
  711.65  28193.37    751.02  29929.27
  704.60  28198.11    731.90  29922.32
  730.68  28189.35    753.54  29925.00
  688.95  28192.58    759.37  29917.19
  680.18  28188.02    737.47  29925.06
  700.18  28129.84    742.87  29839.39
  693.59  28257.72    765.14  30006.61
  688.79  28188.67    726.58  29924.28
  690.11  28196.44    732.22  29921.29
  708.76  28196.25    746.04  29921.08
  693.86  28192.84    731.46  29917.46
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  704.69  28189.57    735.09  29926.45
  578.23  23488.06    570.55  23351.49
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
