    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  643.11  25176.47      0.00      0.00
  707.85  28198.16      0.00      0.00
  727.18  28182.37      1.15      0.00
  709.64  28200.28      0.00      0.00
  712.91  28183.15      0.00      0.00
  705.95  28202.00      0.00      0.00
  709.69  28190.28      0.00      0.00
  722.35  28193.83      0.00      0.00
  703.96  28195.88      0.32      0.00
  680.02  28193.20      0.00      0.00
  681.37  28189.42      0.00      0.00
  681.20  28194.27      0.00      0.00
  684.65  28192.42      0.00      0.00
  685.97  28188.76      0.32      0.00
  682.77  28199.54      0.00      0.00
  680.21  28189.15      0.00      0.00
  679.45  28193.77      0.00      0.00
  680.03  28193.60      0.00      0.00
  679.47  28194.47      0.84      0.00
  686.18  28189.37      0.32      0.00
  681.46  28177.40      0.00      0.00
  687.82  28213.85      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  684.81  28188.50      0.00      0.00
  679.46  28181.92      0.00      0.00
  680.59  28203.43      0.32      0.00
  680.49  28188.95      0.00      0.00
  679.61  28200.36      0.00      0.00
  680.21  28189.12      0.00      0.00
  680.22  28189.62      0.00      0.00
  684.78  28190.19      0.00      0.00
  684.93  28197.29      0.32      0.00
  680.11  28185.04      0.00      0.00
  682.01  28199.99      0.00      0.00
  686.87  28186.08      0.00      0.00
  680.49  28199.35      0.00      0.00
  683.38  28197.26      0.32      0.00
  681.37  28189.54      0.00      0.00
  689.55  28193.34      0.00      0.00
  679.65  28189.88      0.00      0.00
  680.18  28187.77      0.00      0.00
  685.81  28201.29      0.00      0.00
  685.62  28190.28      0.32      0.00
  680.21  28189.15      0.00      0.00
  678.47  28188.87      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  681.06  28200.53      0.00      0.00
  668.25  27624.23      0.00      0.00
    0.00      0.00      0.32      0.00
    0.33      0.48      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
