    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  661.30  25985.71      0.00      0.00
  683.02  28198.11      0.00      0.00
  684.23  28188.02      0.32      0.00
  687.26  28190.36      0.83      0.00
  681.36  28200.95      0.00      0.00
  683.40  28188.69      0.00      0.00
  684.98  28195.71      0.00      0.00
  697.20  28186.03      0.00      0.00
  696.23  28185.80      0.32      0.00
  702.81  28204.56      0.00      0.00
  710.23  28188.81      0.00      0.00
  708.98  28196.05      0.00      0.00
  720.71  28188.81      0.00      0.00
  722.04  28197.32      0.32      0.00
  719.86  28192.33      0.00      0.00
  680.03  28193.63      0.00      0.00
  680.14  28186.31      0.00      0.00
  687.01  28200.16      0.00      0.00
  689.71  28192.05      0.00      0.00
  685.66  28191.88      1.15      0.00
  679.71  28192.41      0.00      0.00
  680.10  28184.41      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  684.25  28201.04      0.00      0.00
  684.47  28170.33      0.00      0.00
  680.49  28211.32      0.32      0.00
  680.22  28189.49      0.00      0.00
  679.59  28199.46      0.00      0.00
  680.21  28189.21      0.00      0.00
  680.23  28190.08      0.00      0.00
  687.00  28198.59      0.00      0.00
  679.02  28187.68      0.32      0.00
  685.47  28199.68      0.00      0.00
  693.42  28190.13      0.00      0.00
  680.02  28193.32      0.00      0.00
  680.51  28188.17      0.00      0.00
  680.30  28192.96      0.32      0.00
  679.60  28199.60      0.00      0.00
  680.23  28190.00      0.00      0.00
  685.71  28190.22      0.00      0.00
  679.59  28199.54      0.00      0.00
  680.50  28187.86      0.00      0.00
  680.02  28193.23      0.32      0.00
  679.92  28189.29      0.00      0.00
  678.36  28196.22      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  681.90  28187.35      0.00      0.00
  595.16  24622.53      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.84      0.00      0.00      0.00
    0.32      0.00      0.83      0.00
    0.00      0.00      0.32      0.00
