    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  657.91  25850.49      0.00      0.00
  717.94  28191.57      0.00      0.00
  710.31  28181.72      1.15      0.00
  710.62  28204.59      0.00      0.00
  718.52  28191.88      0.00      0.00
  706.54  28190.28      0.00      0.00
  708.99  28196.50      0.00      0.00
  712.86  28188.76      0.00      0.00
  705.49  28195.34      0.32      0.00
  680.20  28188.90      0.00      0.00
  679.57  28198.56      0.00      0.00
  680.20  28188.81      0.00      0.00
  680.53  28189.32      0.00      0.00
  679.60  28199.85      0.32      0.00
  682.48  28187.43      0.00      0.00
  686.44  28196.11      0.00      0.00
  681.95  28189.69      0.00      0.00
  679.64  28189.54      0.00      0.00
  684.80  28195.82      0.84      0.00
  683.80  28190.24      0.32      0.00
  681.93  28200.59      0.00      0.00
  680.22  28189.57      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  679.34  28188.89      0.00      0.00
  680.46  28198.05      0.00      0.00
  680.27  28191.57      0.32      0.00
  680.30  28193.04      0.00      0.00
  684.72  28192.56      0.00      0.00
  680.14  28186.11      0.00      0.00
  680.17  28199.35      0.00      0.00
  680.32  28192.47      0.00      0.00
  680.03  28193.74      0.32      0.00
  679.72  28192.64      0.00      0.00
  680.30  28192.69      0.00      0.00
  680.20  28188.67      0.00      0.00
  679.96  28189.46      0.00      0.00
  680.19  28200.47      0.32      0.00
  680.20  28188.67      0.00      0.00
  684.42  28188.36      0.00      0.00
  679.63  28201.06      0.00      0.00
  677.36  28190.81      0.00      0.00
  683.35  28186.48      0.00      0.00
  684.92  28201.01      0.32      0.00
  679.65  28189.74      0.00      0.00
  680.22  28189.49      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  679.87  28199.09      0.00      0.00
  522.97  21613.74      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
