    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  663.96  25990.75   1335.75  60031.41
  644.66  28185.97   1479.48  72038.79
  617.04  28185.85   1337.00  72057.12
  628.59  28202.02   1460.77  72050.54
  639.45  28192.44   1585.80  72050.01
  684.60  28189.26   1642.91  72041.14
  684.11  28188.42   1691.65  72057.02
  693.92  28196.64   1625.92  72047.45
  742.13  28187.80   1770.77  72055.44
  627.70  28190.83   1397.85  72028.60
  572.15  28193.98   1257.15  71772.96
  614.63  28201.26   1164.09  72348.10
  617.22  28189.15   1385.90  72046.92
  683.35  28200.11   1663.66  72044.33
  718.40  28188.41   1821.10  72058.35
  738.80  28195.37   1810.31  72039.30
  729.85  28111.82   1851.29  72033.57
  720.95  28270.91   1813.84  72070.16
  801.08  28188.28   1892.80  72055.70
  720.49  28199.12   1837.95  72007.19
  714.93  28189.74   1817.55  71916.76
  756.23  28189.69   1845.96  72211.91
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  731.25  28200.81   1827.74  72057.15
  736.10  28190.72   1820.79  72048.94
  715.79  28189.04   1845.36  72047.55
  714.76  28198.73   1837.61  72054.41
  760.36  28175.91   1823.42  72041.90
  735.16  28200.98   1792.93  71892.37
  840.43  28198.98   1970.37  72211.45
  771.69  28194.53   1847.54  71996.76
  737.34  28186.70   1870.37  72101.92
  736.04  28198.59   1821.44  72042.32
  728.89  28191.33   1838.77  72056.46
  724.70  28167.19   1819.24  72050.00
  732.00  28216.94   1803.22  72044.05
  729.11  28188.08   1806.99  71997.67
  702.32  28196.61   2002.60  72102.78
  760.19  28131.07   1852.13  71942.35
  725.22  28252.30   1839.51  72157.73
  712.73  28196.81   1808.15  72049.20
  729.06  28184.61   1806.22  72049.25
  714.44  28197.60   1795.70  72043.03
  693.73  28195.23   1779.38  72051.12
  709.56  28190.05   1784.17  72052.30
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  726.40  28187.21   1805.74  72043.59
  192.58   7924.55    355.26  14321.69
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.33      0.48      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
