    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  671.55  25436.79   1454.60  57662.63
  695.60  28193.23   1757.57  72053.69
  705.50  28103.24   1729.40  70555.60
  707.31  28185.80   1743.87  72038.36
  701.13  28194.14   1715.32  72062.32
  680.51  28201.29   1703.92  72053.89
  721.54  28186.80   1764.09  72039.10
  738.83  28192.70   1766.78  72063.17
  695.05  28190.61   1734.03  72025.79
  692.32  28203.14   1691.80  72069.20
  704.76  28180.92   1756.60  71993.21
  707.03  28201.83   1789.77  72096.17
  696.53  28186.98   1744.65  71909.72
  724.44  28198.92   1836.30  72198.56
  710.50  28189.70   1807.65  72036.39
  728.41  28195.61   1855.94  72059.99
  710.55  28179.81   1786.99  72041.21
  730.33  28206.27   1852.25  72057.17
  728.10  28193.36   1806.73  72051.70
  711.42  28191.22   1781.40  72041.08
  693.93  28196.45   1780.95  72057.59
  731.97  28190.92   1793.54  72051.45
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  712.53  28191.40   1805.92  72050.09
  754.43  28199.06   1792.20  72038.38
  714.52  28190.61   1815.63  72060.54
  721.70  28193.07   1783.36  72049.22
  749.23  28180.00   1719.27  72029.79
  721.38  28207.95   1970.98  72081.30
  712.66  28192.15   1781.27  72052.46
  734.01  28193.90   1807.51  72048.00
  721.76  28187.08   1785.02  72045.66
  718.87  28137.18   1809.23  72049.41
  719.51  28248.70   1766.73  72056.84
  740.29  28185.54   1806.84  72041.66
  711.09  28202.88   1800.32  72049.30
  710.64  28188.99   1759.55  72055.04
  734.18  28200.34   1792.57  72040.71
  708.01  28192.05   1797.00  72048.83
  715.44  28188.44   1790.64  72052.85
  716.04  28185.65   1775.56  72030.82
  714.87  28201.57   1796.69  72070.00
  714.78  28181.79   1776.39  72020.18
  696.95  28198.43   1756.19  72062.69
  723.75  28192.44   1805.52  72045.28
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  722.00  28197.60   1799.07  72064.02
  703.59  28049.21   1027.35  41654.97
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
