    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  628.02  25985.94   1153.60  60902.17
  611.35  28197.43   1250.08  72056.11
  607.18  28186.50   1347.15  72046.80
  617.03  28201.71   1401.29  72048.43
  621.35  28188.76   1401.97  72057.88
  620.40  28196.39   1296.57  72040.73
  656.83  28192.33   1294.02  72055.05
  647.23  28188.64   1350.56  72045.63
  643.00  28161.10   1395.73  72036.42
  588.68  28228.97   1268.93  72038.31
  593.92  28193.15   1239.11  72075.77
  775.18  28188.78   1748.10  72022.78
  736.93  28129.67   1857.11  72071.80
  731.62  28237.39   1841.20  72054.43
  749.01  28202.42   1830.39  72032.93
  762.70  28201.97   1867.47  72062.38
  716.42  28191.99   1832.63  72048.86
  715.02  28189.54   1833.78  72047.93
  735.71  28188.21   1840.90  72057.84
  713.07  28202.87   1840.60  72044.64
  737.21  28191.52   1823.04  72052.63
  706.39  28194.56   2477.06  66748.15
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  710.68  28185.06   2705.40  62624.74
  693.76  28196.48   1809.45  72047.04
  729.57  28190.47   1797.94  72047.50
  707.54  28192.52   2759.06  69075.00
  723.02  28196.70   2950.31  61009.58
  739.72  28191.22   2955.23  61148.05
  708.69  28162.21   2725.50  57015.69
  741.64  28032.62   2647.57  54308.70
  734.51  28387.31   2334.46  71954.46
  737.28  28186.40   1850.61  72049.81
  746.45  28193.01   1834.94  72044.87
  746.20  28199.67   1871.46  72044.55
  732.69  28182.91   2052.12  72050.35
  737.54  28185.47   2664.86  71376.53
  723.34  28195.38   3358.77  70122.16
  710.67  28195.25   3230.47  69826.61
  744.90  28204.80   3248.93  69775.64
  733.56  28192.46   3318.44  68835.40
  729.02  28193.48   2863.15  66952.20
  723.77  28180.60   2959.30  68453.06
  711.44  28200.32   3092.15  65010.04
  694.57  28196.46   3083.56  63858.82
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  708.28  28191.54   2803.00  58048.75
  309.01  12759.29    234.43   4847.99
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    1.16      0.48      0.83      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
