    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1468.00  58367.26      0.00      0.00
 1627.10  66531.68      0.00      0.00
 1624.90  67880.10      1.15      0.00
 1638.18  67870.03      0.00      0.00
 1646.15  67115.85      0.00      0.00
 1624.66  66913.75      0.00      0.00
 1647.01  67869.28      0.00      0.00
 1580.18  64926.18      0.00      0.00
 1672.31  67881.53      0.32      0.00
 1680.33  67870.64      0.00      0.00
 1686.28  67870.17      0.00      0.00
 1673.57  67870.54      0.00      0.00
 1724.08  67866.05      0.00      0.00
 1644.79  67876.66      0.32      0.00
 1634.93  67867.93      0.00      0.00
 1681.36  67861.83      0.00      0.00
 1643.75  67879.03      0.00      0.00
 1599.23  67869.22      0.00      0.00
 1765.92  67864.74      1.15      0.00
 1627.61  67867.13      0.00      0.00
 1703.68  67877.90      0.00      0.00
 1646.17  67872.04      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1587.24  67451.73      0.00      0.00
 1732.69  68299.93      0.00      0.00
 1654.95  67751.95      0.32      0.00
 1662.94  67982.78      0.00      0.00
 1650.46  67872.91      0.00      0.00
 1675.24  67870.72      0.00      0.00
 1629.07  67867.93      0.00      0.00
 1664.64  67864.95      0.00      0.00
 1618.89  67874.22      0.32      0.00
 1587.68  67883.76      0.00      0.00
 1636.53  67866.03      0.00      0.00
 1759.06  67743.46      0.00      0.00
 1635.07  67992.79      0.00      0.00
 1701.26  67875.37      0.32      0.00
 1640.28  67866.03      0.00      0.00
 1643.90  67879.90      0.00      0.00
 1654.34  67850.23      0.00      0.00
 1642.93  67883.99      0.00      0.00
 1630.28  67881.07      0.32      0.00
 1604.40  67859.14      0.00      0.00
 1746.34  67874.75      0.00      0.00
 1634.28  67812.41      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1649.50  67929.61      0.00      0.00
  638.18  25334.61      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
