    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1569.91  61682.71      0.00      0.00
 1734.98  67868.88      0.00      0.00
 1654.94  67865.33      0.32      0.00
 1656.01  67880.03      0.83      0.00
 1658.83  67869.22      0.00      0.00
 1637.01  67869.33      0.00      0.00
 1683.63  67864.54      0.00      0.00
 1660.59  67880.64      0.00      0.00
 1676.97  67868.89      0.32      0.00
 1663.92  67856.56      0.00      0.00
 1695.93  67884.79      0.00      0.00
 1666.42  67869.42      0.00      0.00
 1593.35  67882.81      0.00      0.00
 1701.90  67867.66      0.32      0.00
 1694.15  67869.15      0.00      0.00
 1668.48  67862.98      0.00      0.00
 1651.26  67883.56      0.00      0.00
 1699.02  67859.82      0.00      0.00
 1675.93  67869.23      0.32      0.00
 1612.70  67880.85      0.83      0.00
 1674.59  67872.10      0.00      0.00
 1640.65  67867.66      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1724.78  67867.18      0.00      0.00
 1672.88  67869.01      0.00      0.00
 1547.18  67874.50      0.32      0.00
 1711.35  67868.13      0.00      0.00
 1720.79  67871.78      0.00      0.00
 1699.51  67873.81      0.00      0.00
 1683.01  67861.83      0.00      0.00
 1658.39  67877.28      0.32      0.00
 1656.30  67869.76      0.00      0.00
 1642.39  67870.17      0.00      0.00
 1655.48  67869.89      0.00      0.00
 1637.00  67881.25      0.00      0.00
 1655.99  67869.83      0.00      0.00
 1637.38  67870.64      0.32      0.00
 1676.64  67869.35      0.00      0.00
 1640.12  67873.38      0.00      0.00
 1700.87  67870.79      0.00      0.00
 1561.31  67870.91      0.00      0.00
 1729.75  67737.33      0.32      0.00
 1718.58  67999.73      0.00      0.00
 1585.93  67880.24      0.00      0.00
 1586.10  67858.87      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1778.57  67868.33      0.00      0.00
  490.72  17682.20      0.00      0.00
    0.00      0.00      0.32      0.00
    0.33      0.48      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
