    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1496.14  60988.87      0.00      0.00
 1574.47  64047.10      0.00      0.00
 1653.46  67368.30      1.15      0.00
 1668.95  67870.44      0.00      0.00
 1647.40  67869.56      0.00      0.00
 1649.22  67784.56      0.00      0.00
 1649.93  67870.64      0.00      0.00
 1650.29  67868.67      0.00      0.00
 1663.92  67872.20      0.32      0.00
 1680.08  67868.13      0.00      0.00
 1651.09  67882.83      0.00      0.00
 1616.67  67861.58      0.00      0.00
 1760.78  67843.92      0.00      0.00
 1731.23  67906.35      0.32      0.00
 1574.36  67710.50      0.00      0.00
 1740.29  68023.40      0.00      0.00
 1666.85  67878.30      0.00      0.00
 1588.56  67841.56      0.00      0.00
 1694.42  67897.94      0.84      0.00
 1638.77  67871.47      0.32      0.00
 1651.13  67709.14      0.00      0.00
 1637.98  68026.02      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1644.96  67880.82      0.00      0.00
 1667.64  67868.05      0.00      0.00
 1680.81  67860.00      0.32      0.00
 1637.21  67820.86      0.00      0.00
 1806.96  67925.88      0.00      0.00
 1592.49  67867.66      0.00      0.00
 1544.32  67873.12      0.00      0.00
 1751.79  67803.54      0.00      0.00
 1699.70  67872.71      0.32      0.00
 1544.44  67868.54      0.00      0.00
 1753.38  67858.13      0.00      0.00
 1689.28  67882.19      0.00      0.00
 1689.04  67879.90      0.00      0.00
 1596.50  67870.17      0.32      0.00
 1634.13  67866.92      0.00      0.00
 1748.17  67870.57      0.00      0.00
 1686.36  67866.43      0.00      0.00
 1612.77  67878.68      0.00      0.00
 1706.98  67871.71      0.00      0.00
 1592.57  67843.92      0.32      0.00
 1682.30  67893.09      0.00      0.00
 1675.44  67875.23      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1669.57  67867.44      0.00      0.00
  593.68  21646.29      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
