    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1153.88  56411.46    452.97  21351.93
 1445.93  67885.82    706.61  29930.61
 1166.07  65104.69    672.97  29841.15
 1508.31  67868.23    669.42  29917.57
 1483.46  67867.43    680.83  29921.08
 1432.44  67882.55    683.21  29925.57
 1399.17  67844.80    676.24  29912.52
 1457.16  67887.86    696.83  29932.92
 1359.85  67874.76    690.17  29924.31
 1476.64  67866.82    707.70  29920.81
 1451.84  67876.70    678.85  29919.88
 1493.54  67870.16    711.95  29923.70
 1442.48  67869.77    690.50  29927.39
 1749.27  67867.86    765.07  29912.13
 1718.63  67539.43    768.24  29932.38
 1839.26  68212.04    850.82  29923.68
 1704.95  67868.04    769.28  29922.58
 1701.27  67867.80    778.92  29917.83
 1709.23  67869.74    800.95  29925.91
 1751.80  67866.21    796.74  29919.91
 1731.20  67854.39    782.36  29901.21
 1813.13  67893.92    816.50  29942.70
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1750.33  67849.44    784.50  29913.20
 1705.99  67886.76    761.32  29927.93
 1700.60  67874.36    778.15  29931.47
 1730.15  67876.00    797.93  29921.41
 1713.32  67857.04    766.02  29922.64
 1732.09  67882.89    760.42  29924.73
 1748.25  67869.34    763.81  29920.15
 1735.39  67863.64    767.94  29920.66
 1764.20  67879.60    787.00  29925.18
 1694.69  67874.43    737.88  29918.78
 1725.87  67869.62    775.63  29924.25
 1695.69  67865.32    760.88  29927.41
 1697.58  67850.00    744.58  29909.53
 1748.25  67895.56    753.58  29929.62
 1714.57  67868.95    766.10  29924.58
 1711.59  67874.28    774.70  29924.10
 1666.16  67858.35    729.75  29923.12
 1710.39  67876.57    779.20  29921.66
 1660.47  67877.42    766.03  29924.59
 1710.30  67870.34    763.76  29922.07
 1716.40  67866.41    755.82  29920.00
 1696.18  67877.57    761.78  29927.18
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1747.96  67875.34    771.66  29922.07
  450.65  16623.89    275.90  10881.98
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
