    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1566.95  60703.79    629.68  24445.45
 1715.98  67866.87    762.37  29915.19
 1679.60  67710.73    743.37  29931.33
 1663.77  67876.32    731.49  29921.24
 1668.56  67871.26    761.00  29926.06
 1680.88  67877.09    751.33  29918.13
 1664.19  67869.91    743.56  29922.74
 1673.56  67868.81    756.88  29926.18
 1701.31  67857.40    751.81  29924.40
 1699.19  67882.10    770.64  29915.19
 1694.45  67864.51    747.01  29925.76
 1685.98  67877.73    756.95  29924.01
 1712.75  67867.77    772.64  29927.20
 1675.44  67874.30    746.49  29914.97
 1729.80  67871.57    822.09  29929.15
 1687.05  67871.09    755.39  29922.61
 1684.56  67851.22    747.58  29910.90
 1720.41  67889.04    782.12  29937.68
 1745.41  67876.27    774.37  29918.98
 1697.36  67867.51    750.57  29922.41
 1796.26  67864.20    818.05  29928.71
 1670.72  67869.38    761.98  29913.54
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1712.33  67882.83    786.77  29925.72
 1672.79  67869.56    755.28  29923.76
 1715.18  67872.97    779.24  29929.75
 1640.11  67868.43    789.23  29914.96
 1794.70  67871.71    802.36  29931.44
 1664.15  67873.62    751.61  29916.76
 1681.91  67870.85    736.72  29928.49
 1684.83  67869.55    740.57  29921.65
 1713.21  67874.57    761.54  29925.39
 1668.75  67865.29    736.14  29914.27
 1667.85  67884.93    760.11  29926.82
 1669.43  67851.03    750.26  29909.62
 1665.52  67873.10    740.19  29942.25
 1659.66  67887.29    737.07  29917.07
 1657.84  67866.31    739.33  29930.05
 1685.40  67873.22    749.72  29914.95
 1659.89  67876.15    736.94  29927.39
 1680.53  67866.68    763.94  29924.14
 1679.94  67872.62    751.64  29915.53
 1683.09  67866.56    754.38  29926.45
 1700.91  67874.24    766.13  29919.88
 1662.66  67859.01    743.27  29928.71
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1684.87  67882.30    758.31  29924.46
  982.09  39958.18    715.78  29233.43
    0.00      0.00      0.32      0.00
    0.00      0.00      0.33      0.48
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
