    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1264.98  58593.16    558.48  23569.22
 1316.63  66860.99    675.89  29926.31
 1423.13  67877.25    687.60  29921.54
 1395.31  67872.72    688.97  29923.41
 1361.27  67752.84    678.21  29859.62
 1360.89  67977.90    653.00  29985.24
 1426.02  67878.88    665.61  29923.68
 1276.51  67861.08    628.41  29801.43
 1359.30  67870.80    691.31  30038.43
 1442.58  67861.58    723.51  29914.64
 1433.57  67879.56    692.19  29935.95
 1497.79  67885.00    702.27  29918.67
 1782.32  67427.16    812.89  29892.11
 1722.42  68311.05    784.29  29951.56
 1768.96  67869.78    773.47  29928.39
 1690.97  67669.42    766.13  29839.17
 1694.98  67767.11    776.48  30005.98
 1736.19  68171.05    778.02  29924.36
 1686.16  67878.19    766.73  29917.37
 2666.58  66566.63    730.64  29922.91
 2861.22  59189.66    755.92  29924.91
 2901.23  60200.27    755.24  29824.69
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 2889.16  59487.72    806.37  30018.06
 2056.65  67069.22    766.36  29929.28
 1697.33  67879.41    783.45  29921.08
 1758.08  67860.21    815.02  29921.05
 1744.28  67867.80    780.78  29915.78
 1732.63  67882.73    786.13  29930.15
 1708.32  67868.18    767.86  29925.47
 1713.09  67856.60    760.28  29913.06
 1682.01  67889.33    752.35  29927.59
 1729.13  67869.89    773.71  29916.21
 1720.81  67867.19    783.19  29934.51
 1757.44  67877.67    800.62  29922.10
 1704.09  67865.79    763.45  29913.92
 1682.46  67869.89    788.69  29929.53
 1703.04  67874.37    753.86  29920.15
 2621.58  66818.19    751.40  29925.30
 2689.68  64003.50    784.65  29923.25
 1740.15  67878.75    769.42  29921.23
 1722.37  67864.14    758.18  29922.21
 1688.50  67874.98    763.54  29922.47
 1707.67  67873.74    769.16  29923.79
 2671.11  65226.93    730.80  29914.44
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 2992.98  62026.13    746.40  29922.46
  593.80  12223.04    433.16  17726.03
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.83      0.00
    0.83      0.00      0.33      0.48
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
