    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1343.97  61275.08   1227.67  58197.65
 1407.72  66600.74   1483.41  70490.97
 1328.88  67872.88   1325.45  71942.86
 1380.20  67859.67   1371.73  71749.98
 1464.93  67849.84   1505.17  72040.32
 1324.57  67898.73   1359.81  72052.59
 1343.53  67795.10   1417.78  71876.69
 1304.57  67942.53   1331.85  72215.87
 1323.43  67867.45   1440.97  72056.80
 1216.54  67841.30   1293.07  72019.28
 1221.59  67904.85   1157.92  72070.36
 1216.98  67861.42   1187.96  72042.12
 1176.51  67883.68   1247.01  72061.28
 1156.13  66165.30   1046.61  70729.52
 1908.45  62821.42   1919.12  67094.86
 2138.50  67849.54   2018.18  69813.74
 2175.48  63553.84   2624.63  61660.43
 2080.94  67899.70   2126.71  72045.33
 2067.34  67860.86   2108.63  65589.60
 2106.28  67870.05   1997.25  71427.58
 2138.55  67865.45   2047.62  68057.16
 2053.07  67772.90   2080.28  65068.95
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1999.93  67972.31   1975.93  66606.88
 2115.41  67874.26   1982.85  65707.90
 2083.40  65815.90   2022.47  63850.91
 1915.26  67859.59   1948.63  67871.56
 2044.49  67918.69   1908.21  66996.19
 2027.54  67880.63   1976.09  64732.61
 2070.25  67866.25   2051.50  68022.02
 2072.05  67858.60   1991.98  65273.79
 2038.66  67891.64   1818.55  63041.61
 2327.63  67153.46   2424.63  67249.72
 1955.57  67871.13   1965.24  72032.49
 2056.95  63717.74   2320.00  56427.71
 1962.56  67867.85   1920.38  72032.50
 1947.79  67867.19   1887.94  63290.09
 2141.24  67889.72   2044.15  68273.08
 2112.13  67855.88   2055.23  65055.01
 1923.99  67849.73   1904.14  67825.76
 2328.17  66684.97   2251.17  61096.78
 1965.82  68018.92   1995.08  72235.66
 1930.94  67908.98   1991.02  71057.20
 1933.97  67859.74   1965.88  63570.63
 2195.67  67882.46   2125.91  68492.20
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1984.35  67854.33   1923.35  62036.84
  706.31  19201.71    636.36  14089.76
    0.00      0.00      0.32      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.33      0.48
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
