    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1493.50  59751.50   1430.14  57965.89
 1652.66  66256.65   1717.66  70534.49
 1557.71  64564.55   1556.64  67943.14
 1445.89  63602.56   1473.65  67227.93
 1451.60  65864.79   1437.66  69436.07
 1421.01  66751.72   1500.58  70646.94
 1550.16  67221.83   1621.77  71252.69
 1654.60  67403.84   1757.13  70605.45
 1460.65  67523.97   1485.90  71244.07
 1450.37  56231.19   1318.77  59804.33
 1491.92  63330.40   1527.37  69185.00
 1468.89  59196.29   1441.16  62097.49
 1421.39  64433.54   1554.94  68414.69
 1623.05  67236.05   1692.20  70187.45
 1455.04  67533.69   1556.72  71535.05
 1559.06  67896.77   1576.55  72002.51
 1544.65  66395.27   1630.94  70185.38
 1392.00  67426.71   1480.72  71402.30
 1772.49  66567.90   1766.89  68319.42
 1564.52  67876.83   1638.29  72047.12
 1545.21  66947.11   1512.33  70301.52
 1573.55  67874.98   1689.38  72046.03
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1673.21  67644.43   1774.23  71362.89
 1515.79  67799.71   1569.93  71236.90
 1546.61  67870.84   1671.50  72048.93
 1517.19  67872.55   1548.28  72046.54
 1579.75  67055.08   1628.85  70981.12
 1554.06  67021.06   1627.03  69696.50
 1654.01  67494.46   1792.62  70848.00
 1504.27  67448.80   1593.45  71524.87
 1487.45  67862.12   1598.37  72047.42
 1643.39  67189.44   1659.35  70188.02
 1649.19  63696.65   1732.37  65528.74
 1414.82  65424.12   1721.24  67670.29
 1548.23  67241.38   1572.51  69799.26
 1490.27  67864.35   1551.25  71162.03
 1566.21  67847.38   1652.85  71837.00
 1636.21  67555.29   1660.12  70412.34
 1486.30  67078.26   1578.50  69428.42
 1590.82  66551.05   1628.85  68500.78
 1481.92  67152.39   1438.72  69152.04
 1523.38  67229.12   1576.43  69614.02
 1464.28  67351.09   1483.27  70084.94
 1501.33  67826.77   1578.30  71929.99
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1444.22  67381.65   1549.92  71548.16
  758.50  31604.48    761.98  31184.23
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.84      0.00      0.84      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
