    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1411.77  56907.79      0.00      0.00
 1583.20  66191.98      0.00      0.00
 1673.45  67451.08      1.15      0.00
 1639.84  67987.09      0.00      0.00
 1666.76  67853.92      0.00      0.00
 1649.34  67881.63      0.00      0.00
 1652.81  67870.50      0.00      0.00
 1649.89  67875.78      0.32      0.00
 1631.88  67869.28      0.00      0.00
 1707.71  67869.08      0.00      0.00
 1599.64  67869.35      0.00      0.00
 1711.53  67871.39      0.00      0.00
 1697.24  67868.40      0.00      0.00
 1641.39  67872.45      0.32      0.00
 1791.67  67874.59      0.00      0.00
 1564.51  67869.83      0.00      0.00
 1731.16  67869.26      0.00      0.00
 1646.79  67830.35      0.00      0.00
 1728.40  67889.36      1.15      0.00
 1636.12  67879.18      0.00      0.00
 1656.05  67883.02      0.00      0.00
 1558.42  67871.63      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1650.81  65114.65      0.00      0.00
 1690.64  67880.14      0.00      0.00
 1762.71  67870.98      0.32      0.00
 1599.84  67873.79      0.00      0.00
 1667.03  67869.16      0.00      0.00
 1658.84  67869.56      0.00      0.00
 1671.02  67873.71      0.00      0.00
 1712.34  67868.67      0.32      0.00
 1637.01  67870.64      0.00      0.00
 1679.01  67872.27      0.00      0.00
 1661.75  67870.44      0.00      0.00
 1723.07  67870.98      0.00      0.00
 1620.33  67857.74      0.00      0.00
 1516.55  67878.39      0.32      0.00
 1668.34  67871.21      0.00      0.00
 1740.02  67854.21      0.00      0.00
 1560.81  67236.90      0.00      0.00
 1681.74  68531.73      0.00      0.00
 1796.72  67867.45      0.32      0.00
 1686.15  67880.64      0.00      0.00
 1571.61  67872.61      0.00      0.00
 1771.81  67868.25      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1642.42  67867.45      0.00      0.00
  730.24  28509.22      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    1.16      0.48      0.84      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
