    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1362.61  61851.06   1242.35  58879.21
 1377.57  67910.52   1393.39  72087.60
 1435.82  66360.29   1559.94  70190.56
 1408.11  67896.92   1514.98  72073.90
 1452.06  67869.69   1548.28  72059.18
 1428.25  67869.28   1515.88  72048.22
 1500.78  67871.33   1504.35  72004.71
 1461.46  67868.92   1500.54  72085.28
 1256.60  67869.08   1361.52  72058.53
 1110.40  67867.29   1105.64  72019.99
 1054.10  67881.32   1026.67  72070.79
 1194.40  67871.86   1163.40  72049.51
 1403.18  67864.70   1322.15  72054.62
 1891.77  67844.60   2002.70  72022.05
 1903.45  67889.82   1950.28  72059.55
 2006.34  67869.87   1990.83  72046.66
 1909.10  67870.57   2006.73  72048.14
 1856.78  67882.34   1978.46  72071.87
 1911.51  67874.18   2000.86  72031.69
 1884.83  67871.47   2075.34  72051.31
 1900.29  67858.38   2040.78  72049.39
 1858.44  67883.56   1962.96  72061.19
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1983.62  67858.13   2001.85  72035.67
 1986.66  67876.48   2206.18  72058.11
 1837.77  67865.49   1922.48  72054.72
 1839.37  67885.32   1890.54  72051.09
 1915.99  67856.70   1931.15  72034.16
 1915.03  67882.61   2014.74  72012.31
 1985.86  67857.46   2072.13  72085.08
 1849.73  66894.09   1945.39  71119.70
 1775.86  67852.18   1907.63  72033.78
 1811.02  67881.51   1978.45  72061.97
 1903.44  67874.16   2019.71  72041.45
 1850.92  67868.13   1999.53  72058.01
 1820.24  67835.84   1985.19  72014.22
 1835.21  67905.06   1952.70  72094.51
 2064.09  67871.74   2157.06  72040.58
 1788.05  67869.56   1933.15  72047.06
 1906.54  67872.06   1965.61  72013.82
 1852.07  67858.53   1991.61  72095.95
 1892.67  67865.99   2038.61  72008.10
 1959.09  67889.39   2006.33  72068.85
 1838.35  67860.30   1943.67  72053.64
 1995.39  67883.63   2071.50  72061.27
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1882.21  67868.48   1969.89  72037.63
  533.64  18530.35    675.88  20972.65
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.83      0.00
    1.15      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
