    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1522.47  60198.72      0.00      0.00
 1652.64  67861.00      0.00      0.00
 1702.07  67880.66      1.16      0.00
 1657.57  67868.47      0.00      0.00
 1642.06  67871.63      0.00      0.00
 1660.64  67875.24      0.00      0.00
 1672.23  67862.51      0.00      0.00
 1598.53  67881.39      0.00      0.00
 1615.40  67861.23      0.32      0.00
 1764.20  67010.60      0.00      0.00
 1704.38  67867.18      0.00      0.00
 1660.96  67869.35      0.00      0.00
 1683.22  67872.55      0.00      0.00
 1639.35  67871.18      0.32      0.00
 1712.66  67870.50      0.00      0.00
 1635.84  67841.57      0.00      0.00
 1690.97  67889.72      0.00      0.00
 1624.56  67876.94      0.00      0.00
 1692.00  67852.21      0.83      0.00
 1651.59  67896.00      0.32      0.00
 1619.33  67868.54      0.00      0.00
 1651.37  67872.51      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1683.61  67875.42      0.00      0.00
 1691.58  67863.25      0.00      0.00
 1644.37  67870.10      0.32      0.00
 1634.62  67872.20      0.00      0.00
 1687.09  67871.25      0.00      0.00
 1608.59  67873.30      0.00      0.00
 1719.98  67876.11      0.00      0.00
 1638.09  67861.12      0.00      0.00
 1609.96  67878.32      0.32      0.00
 1599.31  67867.18      0.00      0.00
 1634.88  67869.89      0.00      0.00
 1746.70  67858.34      0.00      0.00
 1707.48  67882.34      0.00      0.00
 1532.22  67862.03      0.32      0.00
 1608.33  67882.11      0.00      0.00
 1722.21  67870.49      0.00      0.00
 1690.01  67872.05      0.00      0.00
 1729.18  67865.04      0.00      0.00
 1768.18  67866.25      0.00      0.00
 1664.03  67870.55      0.32      0.00
 1645.98  67882.53      0.00      0.00
 1656.07  67866.03      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1648.92  67880.49      0.00      0.00
  790.34  32674.52      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
