    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1541.11  60751.20      0.00      0.00
 1715.88  67862.47      0.00      0.00
 1726.72  67876.66      1.16      0.00
 1701.27  67868.88      0.00      0.00
 1665.69  67878.95      0.00      0.00
 1665.62  67865.89      0.00      0.00
 1624.20  67859.01      0.00      0.00
 1683.40  67871.98      0.00      0.00
 1660.21  67882.06      0.32      0.00
 1647.01  67861.48      0.00      0.00
 1647.56  67876.36      0.00      0.00
 1649.40  67876.53      0.00      0.00
 1660.80  67871.25      0.00      0.00
 1654.16  67869.02      0.32      0.00
 1679.90  67872.21      0.00      0.00
 1650.70  67867.05      0.00      0.00
 1650.76  67869.69      0.00      0.00
 1646.98  67880.03      0.00      0.00
 1638.80  67868.13      0.83      0.00
 1677.29  67869.42      0.32      0.00
 1644.24  67866.56      0.00      0.00
 1676.26  67869.56      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1657.41  67878.88      0.00      0.00
 1646.86  67870.17      0.00      0.00
 1669.03  67865.62      0.32      0.00
 1654.88  67874.08      0.00      0.00
 1645.92  67875.01      0.00      0.00
 1665.03  67860.96      0.00      0.00
 1641.36  67866.34      0.00      0.00
 1646.68  67886.58      0.00      0.00
 1670.16  67868.40      0.32      0.00
 1656.34  67865.82      0.00      0.00
 1643.68  67868.62      0.00      0.00
 1628.20  67873.46      0.00      0.00
 1643.91  67872.96      0.00      0.00
 1686.54  67871.45      0.32      0.00
 1646.19  67871.66      0.00      0.00
 1652.57  67867.87      0.00      0.00
 1665.21  67873.74      0.00      0.00
 1598.88  67859.27      0.00      0.00
 1710.52  67881.67      0.00      0.00
 1654.06  67878.72      0.32      0.00
 1653.48  67863.47      0.00      0.00
 1638.47  67871.93      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1646.60  67872.48      0.00      0.00
  581.96  24065.97      0.00      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.33      0.48      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
