    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00    577.08  20110.01      0.00      0.00
    0.00      0.00    594.28  23699.69      0.00      0.00
    0.00      0.00    539.36  21290.10      0.00      0.00
    0.00      0.00    571.83  22382.48      1.16      0.00
    0.00      0.00    586.31  22726.44      0.00      0.00
    0.00      0.00    592.54  23121.87      0.00      0.00
    0.00      0.00    605.13  23874.42      0.00      0.00
    0.00      0.00    642.03  24937.69      0.00      0.00
    0.00      0.00    634.47  24806.42      0.32      0.00
    0.00      0.00    627.67  25730.98      0.00      0.00
    0.00      0.00    581.92  23799.81      0.00      0.00
    0.00      0.00    641.07  26003.26      0.00      0.00
    0.00      0.00    470.18  19298.25      0.00      0.00
*** ethernet down ***
    0.00      0.00    562.66  22999.64      0.32      0.00
    0.00      0.00    841.63  23968.73      0.00      0.00
    0.00      0.00    957.31  22341.86      0.00      0.00
    0.00      0.00    848.23  23438.41      0.00      0.00
    0.00      0.00    602.63  24564.84      0.00      0.00
    0.00      0.00    530.86  21651.41      0.00      0.00
    0.00      0.00    527.14  21617.41      1.15      0.00
*** wifi down ***
    0.00      0.00    912.76  24166.29      0.00      0.00
    0.00      0.00    568.27  22812.68      0.00      0.00
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00    804.33  22668.23      0.00      0.00
    0.00      0.00    500.10  20317.92      0.00      0.00
    0.00      0.00    582.47  23184.29      0.32      0.00
    0.00      0.00    656.33  19713.62      0.00      0.00
    0.00      0.00    554.46  20979.20      0.00      0.00
*** wifi up ***
    0.00      0.00    535.36  22048.04      0.00      0.00
    0.00      0.00    531.80  21748.72      0.00      0.00
    0.00      0.00    594.41  24169.20      0.32      0.00
    0.00      0.00    483.38  19787.51      0.00      0.00
    0.00      0.00    723.13  23736.15      0.00      0.00
    0.00      0.00    678.72  25495.14      0.00      0.00
    0.00      0.00    756.15  24551.74      0.00      0.00
    0.00      0.00    684.69  22934.86      0.32      0.00
*** ethernet up ***
    0.00      2.01    534.01  22063.81      0.00      0.00
    0.00      1.95    563.27  22824.39      0.00      0.00
    0.00      0.00    642.89  21930.67      0.00      0.00
    0.00      0.00    614.08  21734.58      0.00      0.00
    0.00      0.00    612.04  25079.63      0.00      0.00
    0.00      0.55    617.27  24994.87      0.32      0.00
    0.00      0.00    576.67  23643.87      0.00      0.00
    0.00      0.00    587.83  23931.33      0.00      0.00
    0.00      0.00    590.88  23579.93      0.00      0.00
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.55    542.76  22398.15      0.00      0.00
    0.00      0.00    551.09  22491.17      0.32      0.00
    0.00      0.00    572.65  23263.16      0.00      0.00
    0.00      0.00    648.86  22658.38      0.00      0.00
    0.00      0.00    538.69  21983.74      0.00      0.00
    0.00      0.00    556.45  22910.18      0.00      0.00
    0.00      0.00    571.02  23066.25      0.32      0.00
    0.00      0.00    568.02  22998.98      0.83      0.00
    0.00      0.00    558.95  22989.92      0.00      0.00
    0.00      0.00    469.03  19156.78      0.00      0.00
    0.00      0.00    594.58  24204.00      0.00      0.00
    0.00      0.00    563.79  22924.55      0.00      0.00
    0.00      0.00    650.96  26130.78      0.32      0.00
    0.00      0.00    594.38  23994.85      0.00      0.00
    0.00      0.00    515.36  21052.75      0.00      0.00
    0.00      0.00    548.35  22375.51      0.00      0.00
*** end of the test ***
     n/a       n/a       n/a       n/a      0.00      0.00
     n/a       n/a       n/a       n/a      0.00      0.00
