    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00    556.08  19117.39      0.00      0.00
    0.00      0.00    592.40  24240.24      0.83      0.00
    0.00      0.00    603.88  21969.96      0.00      0.00
    0.00      0.00    572.89  23284.71      0.32      0.00
    0.00      0.00    594.14  24299.64      0.00      0.00
    0.00      0.00    576.26  23472.21      0.00      0.00
    0.00      0.00    494.77  20304.34      0.00      0.00
    0.00      0.00    540.61  22038.65      0.00      0.00
    0.00      0.00    523.67  21176.97      0.32      0.00
    0.00      0.00    616.38  22348.04      0.00      0.00
    0.00      0.00    605.64  23268.58      0.00      0.00
    0.00      0.00    618.32  25148.33      0.00      0.00
    0.00      0.00    585.03  24009.69      0.00      0.00
    0.00      0.00    549.26  22372.70      0.00      0.00
*** ethernet down ***
    0.00      0.00    546.19  22231.07      0.32      0.00
    0.00      0.00    552.87  22390.63      0.00      0.00
    0.00      0.00    619.56  25458.06      0.00      0.00
    0.00      0.00    547.39  22481.34      0.83      0.00
    0.00      0.00    601.72  24365.97      0.00      0.00
    0.00      0.00    541.64  21955.21      0.32      0.00
    0.00      0.00    467.20  18932.48      0.00      0.00
*** wifi down ***
    0.00      0.00    576.59  23475.66      0.00      0.00
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00    509.51  20738.60      0.00      0.00
    0.00      0.00    546.80  22098.78      0.00      0.00
    0.00      0.00   1010.78  23923.45      0.32      0.00
    0.00      0.00    811.15  22620.93      0.00      0.00
    0.00      0.00    584.46  23305.48      0.00      0.00
*** wifi up ***
    0.00      0.00    508.60  20953.15      0.00      0.00
    0.00      0.00    608.53  24794.19      0.00      0.00
    0.00      0.00    513.92  21017.43      0.32      0.00
    0.00      0.00    621.70  25521.94      0.00      0.00
    0.00      0.00    653.45  26404.94      0.00      0.00
    0.00      0.00    574.50  23354.26      0.00      0.00
    0.00      0.00    546.23  22493.04      0.00      0.00
    0.00      0.00    622.29  25463.52      0.00      0.00
*** ethernet up ***
    0.00      2.01    526.62  21537.09      0.32      0.00
    0.00      1.95    757.08  26126.04      0.00      0.00
    0.00      0.00    581.98  23826.00      0.00      0.00
    0.00      0.00    480.48  19373.72      0.00      0.00
    0.00      0.00    702.15  24134.69      0.00      0.00
    0.00      0.55    612.24  21520.11      0.32      0.00
    0.00      0.00    585.30  21097.37      0.00      0.00
    0.00      0.00    578.06  23736.31      0.00      0.00
    0.00      0.00    639.53  23726.65      0.00      0.00
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.55    685.62  24704.42      0.00      0.00
    0.00      0.00    606.71  24778.51      0.32      0.00
    0.00      0.00    628.12  25619.33      0.00      0.00
    0.00      0.00    622.79  25315.03      0.00      0.00
    0.00      0.00    545.36  22208.67      0.00      0.00
    0.00      0.00    605.45  24939.94      0.84      0.00
    0.00      0.00    624.28  25245.52      0.32      0.00
    0.00      0.00    595.04  23982.34      0.00      0.00
    0.00      0.00    628.26  25802.05      0.00      0.00
    0.00      0.00    564.06  22927.37      0.00      0.00
    0.00      0.00    486.45  19999.60      0.00      0.00
    0.00      0.00    703.24  24351.23      0.00      0.00
    0.00      0.00    594.36  24133.03      0.32      0.00
    0.00      0.00    529.95  20797.77      0.00      0.00
    0.00      0.00    562.12  22832.12      0.00      0.00
    0.00      0.00    540.64  21886.48      0.00      0.00
*** end of the test ***
     n/a       n/a    257.60  10352.04      0.00      0.00
