ethernetInput ethernetOutput wifiInput wifiOutput mobileInput mobileOutput sumInput sumOutput
1.13443359375 67.11734375 0.84572265625 50.7553320312 0.53947265625 24.3459960937 2.51962890625 142.218671875 
1.29973632813 73.68125 1.095703125 63.5417871094 0.542490234375 27.0618652344 2.9379296875 164.284902344 
1.1434765625 83.270078125 0.83677734375 66.2991308594 0.44185546875 27.8259082031 2.422109375 177.395117188 
1.22051757812 57.5121972656 0.94794921875 56.7215039062 0.509208984375 24.3461425781 2.67767578125 138.57984375 
0.982646484375 51.9287597656 0.802197265625 58.2375097656 0.363740234375 23.397109375 2.14858398438 133.563378906 
1.152421875 76.0604980469 0.91791015625 66.1597753906 0.42201171875 27.6249707031 2.49234375 169.845244141 
1.4487109375 68.1335644531 1.06634765625 63.12109375 0.6190234375 26.3459960937 3.13408203125 157.600654297 
1.34646484375 63.0678515625 1.35666992188 63.4924511719 0.76935546875 25.2502246094 3.47249023438 151.810527344 
1.46439453125 67.9120214844 1.31108398437 66.2365625 0.510673828125 26.0265722656 3.28615234375 160.17515625 
1.06045898438 62.3709863281 0.94640625 66.2894042969 0.410771484375 26.29421875 2.41763671875 154.954609375 
1.13439453125 82.3474511719 0.906259765625 66.271171875 0.590205078125 27.6607128906 2.630859375 176.279335937 
1.51849609375 70.8906542969 1.19864257813 66.2812597656 0.56783203125 26.2707617187 3.28497070313 163.442675781 
1.1812109375 72.8031347656 0.958544921875 66.2831640625 0.538291015625 26.5252636719 2.678046875 165.6115625 
EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown EthernetDown 
1.3833984375 72.5242382813 1.12100585938 66.2836425781 0.54552734375 27.0466503906 3.04993164063 165.85453125 
0.0 0.0 1.4681640625 66.2794921875 0.702421875 27.0272558594 2.1705859375 93.3067480469 
0.0 0.0 1.67407226562 66.2790722656 0.66623046875 24.1798535156 2.34030273438 90.4589257813 
0.0 0.0 1.66513671875 66.2825878906 0.653408203125 24.8998632812 2.31854492188 91.1824511719 
0.0 0.0 1.67522460938 66.2785742187 0.685966796875 25.1576269531 2.36119140625 91.4362011719 
0.0 0.0 1.66239257812 66.2640625 0.672314453125 24.9994824219 2.33470703125 91.2635449219 
0.0 0.0 1.59318359375 66.2843066406 0.583935546875 23.1035449219 2.17711914062 89.3878515625 
WifiDown WifiDown WifiDown WifiDown WifiDown WifiDown WifiDown WifiDown 
0.0 0.0 1.68001953125 63.7211328125 0.563896484375 21.5060253906 2.24391601562 85.2271582031 
0.0 0.0 0.178212890625 6.16803710937 0.422451171875 16.68390625 0.6006640625 22.8519433594 
0.0 0.0 0.0 0.0 0.656416015625 26.8330566406 0.656416015625 26.8330566406 
0.0 0.0 0.0 0.0 0.6228125 23.383046875 0.6228125 23.383046875 
0.0 0.0 0.0003125 0.0 0.629970703125 22.294609375 0.630283203125 22.294609375 
0.0 0.0 0.0 0.0 0.5630078125 21.6843261719 0.5630078125 21.6843261719 
0.0 0.0 0.0 0.0 0.656298828125 26.7279492187 0.656298828125 26.7279492187 
WifiUp WifiUp WifiUp WifiUp WifiUp WifiUp WifiUp WifiUp 
0.0 0.0 0.0 0.0 0.631474609375 25.9548828125 0.631474609375 25.9548828125 
0.0 0.0 0.765087890625 31.1435351562 0.677822265625 27.1940722656 1.44291015625 58.3376074219 
0.0 0.0 1.62284179687 66.2780273437 0.657880859375 26.3548046875 2.28072265625 92.6328320312 
0.0 0.0 1.61235351562 66.2790234375 0.666083984375 27.2552441406 2.2784375 93.5342675781 
0.0 0.0 1.60784179688 66.2801757812 0.73875 27.5490625 2.34659179687 93.8292382812 
0.0 0.0 1.71563476562 66.2780664063 0.620546875 24.8388378906 2.33618164062 91.1169042969 
0.0 0.0 1.66171875 66.2826269531 0.610078125 23.8913476563 2.271796875 90.1739746094 
EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp 
0.0 0.00068359375 1.6434765625 66.2795214844 0.648671875 26.4891894531 2.2921484375 92.7693945312 
0.6796484375 35.7599609375 1.28067382813 66.2840820312 0.54537109375 26.3740234375 2.50569335937 128.418066406 
1.27870117188 86.1946679687 0.85583984375 66.2769238281 0.47396484375 28.2039355469 2.60850585938 180.675527344 
1.3378125 70.3167480469 0.877890625 66.277265625 0.45265625 25.6573730469 2.668359375 162.251386719 
