    sta1-eth1           sta1-wlan0          sta1-eth2     
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
 1316.96  64397.86    936.65  46767.79    542.80  20512.88
 1360.47  90350.00    968.49  67822.87    489.47  27852.70
 1231.72  88394.71    915.17  67926.55    520.95  28838.24
 1368.47  83760.52    982.88  67792.95    458.96  28180.33
 1485.54  80413.69   1158.76  67878.68    553.98  28281.24
 1453.44  85718.91    945.57  67862.50    516.16  28525.92
 1379.27  85874.14    962.86  67870.25    505.37  28451.35
 1452.10  89150.55    987.20  67883.83    554.21  28980.43
 1581.93  81447.49   1239.98  67861.90    784.98  28314.67
 2035.39  78174.10   1769.22  67871.24    916.06  27503.09
 1242.41  90167.50    965.85  67872.22    530.79  28877.71
 1289.25  89154.38    951.66  67874.78    534.46  28993.49
 1289.02  89987.30    914.04  67864.19    631.51  28786.48
*** ethernet down ***
 1263.46  87519.18   1009.36  67877.34    525.71  27964.21
    0.00      0.00   1434.30  67867.70    597.27  25775.61
    0.00      0.00   1565.08  67859.37    668.57  27408.33
    0.00      0.00   1573.07  67888.52    676.23  28039.72
    0.00      0.00   1586.80  67864.14    649.16  27406.55
    0.00      0.00   1576.45  67880.40    693.63  28015.18
    0.00      0.00   1580.46  67857.29    736.15  28088.32
*** wifi down ***
    0.00      0.00   1560.91  67878.93    743.34  28102.99
    0.00      0.00    124.72   5110.95    575.67  23556.49
    sta1-eth1           sta1-wlan0          sta1-eth2     
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00      0.00      0.00    574.26  23486.33
    0.00      0.00      0.32      0.00    619.03  25211.98
    0.00      0.00      0.00      0.00    552.55  22621.75
    0.00      0.00      0.00      0.00    663.46  27278.00
    0.00      0.00      0.00      0.00    577.98  20606.63
*** wifi up ***
    0.00      0.00      0.00      0.00    531.66  21896.85
    0.00      0.00    649.05  30116.64    636.29  26568.38
    0.00      0.00   1494.50  67871.05    637.78  27089.82
    0.00      0.00   1609.61  67867.87    704.49  29288.07
    0.00      0.00   1606.40  67881.25    705.13  28766.68
    0.00      0.00   1606.92  67864.40    683.62  28339.34
    0.00      0.00   1605.10  67872.28    763.10  28696.85
*** ethernet up ***
    0.00      0.70   1572.75  67857.72    697.29  28979.83
  658.18  43618.19   1147.06  67890.92    587.38  28967.17
 1272.12  90398.77    892.91  67845.60    639.15  29052.32
 1370.61  89573.43    972.27  67881.89    626.52  28924.01
 1395.99  90249.09    847.41  67883.70    533.33  29027.62
 1288.38  89592.05    905.92  67865.99    581.42  28925.84
 2105.84  88281.62   1552.31  65740.65    498.60  20087.60
 2230.90  92762.54   1478.80  62223.32    339.18  13697.83
 1765.37  92820.50   1244.84  67869.56    447.77  20156.63
 1325.33  90971.30    911.41  67863.40    546.08  28850.32
    sta1-eth1           sta1-wlan0          sta1-eth2     
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
 1353.86  90205.07    998.14  67875.87    563.48  29055.02
 1350.94  89205.70    992.34  67868.88    524.47  27691.14
 2217.62  93541.27   1536.56  64989.43    215.44   8770.77
 2196.17  93202.88   1518.27  63713.72    363.12  14384.13
 2167.35  93154.54   1516.10  65915.55    242.17  10156.99
 2070.17  89331.92   1425.14  64729.48    320.21  13958.58
 1571.52  90346.70   1216.59  66080.53    466.60  24432.84
 1414.73  83770.51   1185.70  67877.77    547.99  28017.96
 1508.51  79134.59   1133.11  67859.31    549.54  28109.72
 1911.69  87302.43   1385.52  67078.21    433.90  19339.50
 2194.67  94172.98   1537.87  64712.25    201.52   8668.36
 2200.60  93161.41   1573.01  65217.68    279.22  10993.51
 1492.18  91959.97   1041.31  66625.66    370.07  21048.44
 1217.42  90347.80    837.01  67871.37    470.75  29059.79
 1596.06  89481.66   1048.55  67881.13    578.56  29039.91
 1172.16  89198.30    942.98  67860.31    499.64  28795.00
*** end of the test ***
     n/a       n/a    274.60  14229.78       n/a       n/a
