    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
 1221.81  60126.13    660.43  24473.66   1091.32  47293.04
 1166.39  91344.17    502.88  29007.15    857.55  67971.13
 1054.15  91370.99    509.49  29003.85    866.85  67883.36
  988.34  89621.95    475.16  28905.35    790.19  67850.06
 1092.70  86182.32    601.62  28436.03    886.14  67881.59
 1631.79  80130.84    899.16  28105.72   1413.49  67867.67
  914.96  90744.25    509.10  28790.11    789.20  67801.53
  997.93  91269.15    511.40  29068.64    882.38  67940.93
  970.05  90925.68    498.50  28843.35    799.20  67882.91
 1038.80  91954.16    516.70  29067.40    767.12  67861.53
  953.83  89995.68    462.31  28820.37    764.28  67876.36
  937.94  91799.82    478.94  29012.43    848.31  67867.51
  960.34  92444.16    513.72  29049.83    794.41  67872.05
  913.38  91216.83    516.64  28987.00    771.97  67843.07
*** ethernet down ***
    1.16     23.64    584.64  23892.00   1275.64  67892.29
    0.00      0.00    605.79  26367.36   1393.94  67878.41
    0.00      0.00    702.75  29074.94   1589.90  67871.86
    0.00      0.00    804.34  26651.58   1462.25  67868.20
    0.00      0.00    686.57  28648.97   1608.07  67870.30
    0.00      0.00    832.05  28573.66   1547.72  67859.80
    0.00      0.00    625.32  26427.07   1509.26  67886.47
*** wifi down ***
    0.00      0.00    603.90  24625.43    270.94  10930.64
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00    628.25  25648.11      0.00      0.00
    0.00      0.00    595.32  24407.27      0.32      0.00
    0.00      0.00    711.81  22851.87      0.00      0.00
    0.00      0.00    595.79  24532.52      0.00      0.00
    0.00      0.00    612.02  25031.31      0.00      0.00
*** wifi up ***
    0.00      0.00    538.75  22068.79      0.00      0.00
    0.00      0.00    699.33  28829.11    670.36  30515.24
    0.00      0.00    551.53  24903.50   1408.63  67881.12
    0.00      0.00    681.75  28251.44   1541.28  67868.30
    0.00      0.00    696.07  28407.89   1517.91  67882.78
    0.00      0.00    686.78  28318.94   1569.26  67872.13
    0.00      0.00    664.54  27759.56   1511.56  67860.00
    0.00      0.00    694.29  28488.40   1540.30  67878.25
*** ethernet up ***
  396.04  38623.74    529.77  26179.87   1094.99  67871.16
  863.69  88768.17    495.52  28986.33    843.96  67870.00
 1079.33  89360.44    494.26  28755.06    833.59  67857.79
 1338.78  82653.19    541.59  28744.64   1073.76  67875.47
 1384.72  49934.61    761.19  24685.98   1035.55  49797.56
 1070.23  87959.71    487.08  28646.28    880.21  67863.93
 1252.45  83845.07    537.21  28883.77   1083.04  67876.41
 2262.62  76058.83    613.02  28876.29   1276.25  67870.78
 2979.44  75342.70    664.24  29131.70   1473.99  67870.98
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
 3320.11  74148.66    623.57  28567.77   1436.76  67880.97
 1808.32  52980.76    572.77  26143.12   1630.75  64892.33
 2549.23  56417.00    652.75  27515.33   2533.92  64967.95
 1114.38  48114.88    714.51  24207.01   1081.05  44565.54
 1708.35  79935.23    681.21  29133.59   1510.68  67864.81
 1724.15  71950.14    854.00  28188.62   1568.66  67871.58
 1716.02  73053.39    700.66  28877.29   1590.93  67698.68
 1763.26  79583.94    702.61  28908.53   1494.52  68047.43
 1293.60  80473.37    612.35  28979.18   1202.18  67866.45
  831.23  92038.06    475.87  28978.23    704.85  67866.71
  925.22  92635.91    480.56  28941.34    769.88  67875.29
 1008.90  92164.97    527.92  29071.77    806.47  67876.44
  914.06  90965.68    642.37  29085.39    791.08  67868.67
 1873.76  78417.91    780.90  29259.44   1609.74  67868.36
 1090.09  90205.01    544.68  29086.95    922.11  67868.36
  887.02  93033.54    512.36  29026.46    745.91  67845.07
*** end of the test ***
     n/a       n/a    165.39   7182.96    344.47  17545.47
