    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
 1280.03  56978.63    595.73  23683.21    881.88  48525.20
 1347.58  74367.35    519.23  26649.37   1003.12  64325.85
 1425.00  71821.01    568.31  26548.50   1123.95  61967.12
 1504.59  66309.73    771.56  26774.73   1309.16  63726.01
 1565.70  73439.62    827.85  27625.49   1368.12  66559.52
 1105.50  75973.78    529.29  27620.59    957.18  67892.56
 1498.51  73828.86    520.50  27731.59   1138.85  67863.43
 1422.63  70758.79    588.49  27018.71   1053.00  66991.32
 1159.19  60151.07    464.10  23932.62    928.80  62967.81
 1350.61  77262.84    537.18  27420.04    909.95  67881.59
 1594.61  71430.20    620.89  26523.45   1285.12  67836.97
 1452.76  76696.56    554.56  27314.80   1118.09  67901.70
 1374.79  76052.15    484.64  27430.78   1034.49  67860.28
*** ethernet down ***
 1429.60  79341.92    517.52  28117.00   1156.32  67881.46
    0.00      0.00    650.01  26701.07   1265.60  67836.42
    0.00      0.00    522.19  25346.96   1279.72  67845.21
    0.00      0.00    648.38  26716.49   1310.84  67930.94
    0.00      0.00    629.14  27651.66   1421.78  67868.31
    0.00      0.00    616.16  25937.73   1307.75  67867.02
    0.00      0.00    641.28  28008.91   1461.41  67877.19
*** wifi down ***
    0.00      0.00    674.10  26792.34   1373.51  67871.65
    0.00      0.00    560.70  23239.39    203.56   7840.61
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00    523.63  21414.60      0.00      0.00
    0.00      0.00    637.44  26095.34      0.00      0.00
    0.00      0.00    654.18  26591.50      0.32      0.00
    0.00      0.00    620.14  25422.58      0.00      0.00
    0.00      0.00    614.45  25142.59      0.00      0.00
*** wifi up ***
    0.00      0.00    639.42  26176.39      0.00      0.00
    0.00      0.00    607.08  25692.66    556.50  27638.09
    0.00      0.00    621.01  27565.85   1396.70  67867.62
    0.00      0.00    568.36  26407.54   1181.41  67859.36
    0.00      0.00    545.42  25192.41   1202.45  67887.70
    0.00      0.00    542.89  24597.76   1176.41  67868.83
    0.00      0.00    603.89  26901.35   1250.73  67872.47
*** ethernet up ***
    0.00      0.70    764.81  27311.88   1227.81  67875.91
  561.51  34699.06    475.41  26128.39    848.12  67866.95
 1664.10  84559.02    498.96  22725.03   1144.20  61002.16
 1976.33  87552.43    415.66  18073.02   1246.13  54129.28
 2018.51  88467.43    455.63  18956.47   1305.75  57365.99
 2010.45  88749.33    564.77  24063.50   1242.97  54636.89
 1847.92  84862.84    205.51   8287.60   1379.55  61342.86
 1918.02  84380.45      9.82    319.03   1198.55  52893.63
 1772.13  81847.93     99.48   4437.05   1172.97  55221.79
 2021.81  89341.31      0.00      0.00   1422.00  61970.48
    sta1-eth1           sta1-eth2           sta1-wlan0    
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
 2035.13  90075.02     25.42    827.30   1290.87  58964.52
 1948.18  87309.56    181.66   6185.34   1311.27  60090.74
 1823.10  87361.48    400.95  16297.96   1334.60  66893.57
 1396.15  81435.83    393.40  20722.10   1163.30  67874.57
 1916.10  86415.88    101.72   4282.26   1304.01  58343.79
 1929.96  86269.82     57.92   2163.15   1161.54  51767.36
 1869.04  82547.35     44.46   1625.35   1200.49  55859.26
 1850.48  84317.20     21.94    826.83   1287.22  59575.66
 1923.00  85241.82     71.98   2856.65   1317.35  58063.47
 1950.39  86441.25     68.86   2829.75   1338.73  60729.52
 2025.55  87726.52    109.80   4134.75   1373.54  59661.80
 2056.51  87374.78    154.41   6041.79   1337.54  58183.01
 1968.27  86425.89    198.71   8763.78   1378.65  62703.10
 1977.67  87366.50    265.61  11852.05   1435.36  63195.07
 1903.99  84802.30    173.04   7088.93   1314.25  59547.61
 1893.02  85182.89     94.03   3949.11   1346.69  60503.47
*** end of the test ***
     n/a       n/a       n/a       n/a     61.67   2641.62
