    sta1-eth1           sta1-wlan0          sta1-eth2     
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
 1161.66  68728.16    866.02  51973.46    552.42  24930.30
 1330.93  75449.60   1122.00  65066.79    555.51  27711.35
 1170.92  85268.56    856.86  67890.31    452.46  28493.73
 1249.81  58892.49    970.70  58082.82    521.43  24930.45
 1006.23  53175.05    821.45  59635.21    372.47  23958.64
 1180.08  77885.95    939.94  67747.61    432.14  28287.97
 1483.48  69768.77   1091.94  64636.00    633.88  26978.30
 1378.78  64581.48   1389.23  65016.27    787.82  25856.23
 1499.54  69541.91   1342.55  67826.24    522.93  26651.21
 1085.91  63867.89    969.12  67880.35    420.63  26925.28
 1161.62  84323.79    928.01  67861.68    604.37  28324.57
 1554.94  72592.03   1227.41  67872.01    581.46  26901.26
 1209.56  74550.41    981.55  67873.96    551.21  27161.87
*** ethernet down ***
 1416.60  74264.82   1147.91  67874.45    558.62  27695.77
    0.00      0.00   1503.40  67870.20    719.28  27675.91
    0.00      0.00   1714.25  67869.77    682.22  24760.17
    0.00      0.00   1705.10  67873.37    669.09  25497.46
    0.00      0.00   1715.43  67869.26    702.43  25761.41
    0.00      0.00   1702.29  67854.40    688.45  25599.47
    0.00      0.00   1631.42  67875.13    597.95  23658.03
*** wifi down ***
    0.00      0.00   1720.34  65250.44    577.43  22022.17
    0.00      0.00    182.49   6316.07    432.59  17084.32
    sta1-eth1           sta1-wlan0          sta1-eth2     
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00      0.00      0.00    672.17  27477.05
    0.00      0.00      0.00      0.00    637.76  23944.24
    0.00      0.00      0.32      0.00    645.09  22829.68
    0.00      0.00      0.00      0.00    576.52  22204.75
    0.00      0.00      0.00      0.00    672.05  27369.42
*** wifi up ***
    0.00      0.00      0.00      0.00    646.63  26577.80
    0.00      0.00    783.45  31890.98    694.09  27846.73
    0.00      0.00   1661.79  67868.70    673.67  26987.32
    0.00      0.00   1651.05  67869.72    682.07  27909.37
    0.00      0.00   1646.43  67870.90    756.48  28210.24
    0.00      0.00   1756.81  67868.74    635.44  25434.97
    0.00      0.00   1701.60  67873.41    624.72  24464.74
*** ethernet up ***
    0.00      0.70   1682.92  67870.23    664.24  27124.93
  695.96  36618.20   1311.41  67874.90    558.46  27007.00
 1309.39  88263.34    876.38  67867.57    485.34  28880.83
 1369.92  72004.35    898.96  67867.92    463.52  26273.15
 1441.93  69568.49   1130.57  67877.73    483.97  26745.35
 1232.95  58901.68    929.17  59104.77    368.81  22240.56
 1503.64  75529.58   1172.13  67877.60    616.34  27418.67
 1338.98  78142.48   1049.15  67876.03    482.41  27866.68
 1252.36  65522.41   1095.24  67849.67    524.30  26109.63
 1616.74  76297.42   1255.95  61352.08    357.29  16628.48
    sta1-eth1           sta1-wlan0          sta1-eth2     
 Kbps in  Kbps out   Kbps in  Kbps out   Kbps in  Kbps out
 1852.19  82603.25   1310.74  59398.96     69.29   3364.36
 2122.21  90417.88   1381.03  59307.57      0.00      0.00
 1883.36  84157.10   1365.83  61537.55      0.00      0.00
 2236.71  90216.84   1475.57  60441.25    175.14   3687.45
 2083.87  90302.18   1429.11  61529.39    170.53   6924.36
 2192.92  91233.94   1474.92  62708.31    132.94   5230.06
 2128.86  92182.78   1314.25  56307.23    129.34   5375.21
 2007.12  88670.12   1371.38  59185.23    173.30   7367.24
 1842.40  76010.02   1537.22  64992.53    431.75  16656.88
 1963.54  87219.23   1280.62  62076.34    293.76  13880.68
 1877.82  85371.89   1268.35  58071.80     96.51   4091.04
 2171.26  92580.68   1532.84  64634.02    319.90  13136.62
 1908.37  90420.08   1429.97  65714.97    426.21  16203.04
 1924.11  92933.19   1241.03  61778.18    131.88   7852.09
 2220.47  93594.38   1566.23  66413.12    463.21  18702.97
 2180.30  91837.41   1458.78  61494.29    317.90  13155.09
*** end of the test ***
     n/a       n/a     89.24   3867.63       n/a       n/a
