    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  283.76   9089.31      0.00      0.00
  238.48   9887.06      0.00      0.00
  262.20   9892.85      0.84      0.00
  260.86   9875.65      0.32      0.00
  287.60   9893.87      0.00      0.00
  238.59   9878.75      0.00      0.00
  264.26   9886.15      0.00      0.00
  238.44   9885.39      0.00      0.00
  238.74   9884.73      0.32      0.00
  238.48   9887.39      0.00      0.00
  282.08   9890.32      0.00      0.00
  264.19   9885.01      0.00      0.00
  238.49   9875.75      0.00      0.00
  238.95   9893.31      0.00      0.00
  267.81   9885.74      0.32      0.00
  265.32   9885.54      0.00      0.00
  280.85   9886.25      0.00      0.00
  238.11   9884.05      0.00      0.00
  262.29   9886.44      1.16      0.48
  263.78   9975.21      0.32      0.00
*** starting mobility***
  291.90  10617.46      0.00      0.00
  269.28  11176.35      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  287.17  11905.85      0.00      0.00
  303.87  12622.05      0.00      0.00
  325.96  13476.93      0.00      0.00
  342.07  14182.13      0.32      0.00
  360.76  14931.86      0.00      0.00
  379.34  15751.20      0.00      0.00
  410.06  17000.68      0.00      0.00
  435.05  18025.06      0.00      0.00
  217.95  11416.08      0.32      0.00
    0.00     23.94      0.00      0.00
  133.85   4536.84      0.00      0.00
  640.61  22923.72      0.00      0.00
  658.90  23967.06      0.00      0.00
  644.75  25652.90      0.00      0.00
  677.63  26800.72      0.32      0.00
  733.15  28841.33      0.00      0.00
  774.86  30759.66      0.00      0.00
  826.88  32666.09      0.00      0.00
  820.59  34021.12      0.00      0.00
  884.90  36674.32      0.00      0.00
  927.40  38437.70      0.32      0.00
  990.26  41067.81      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1055.43  43757.53      0.00      0.00
 1094.75  46452.83      0.00      0.00
 1203.06  49876.99      0.00      0.00
 1266.07  52489.56      0.32      0.00
 1345.40  56150.83      0.00      0.00
 1369.42  59763.49      0.00      0.00
 1501.96  63311.92      0.83      0.00
 1466.10  66513.82      0.00      0.00
 1554.48  70741.66      0.00      0.00
 1735.59  75763.79      0.32      0.00
 1576.44  80127.09      0.00      0.00
 1650.91  85240.24      0.00      0.00
 1254.18  89499.69      0.00      0.00
 1571.96  91982.55      0.00      0.00
 2532.94  88880.16      0.32      0.00
 2324.78  97995.45      0.00      0.00
 1552.74  66363.73      0.00      0.00
  100.42   4295.88      0.00      0.00
   77.82   3239.63      0.00      0.00
 1358.33  47631.80      0.00      0.00
 2156.40  85675.98      0.32      0.00
 2139.10  86701.26      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 2257.74  84249.35      0.00      0.00
 2572.53  78691.59      0.00      0.00
 2115.63  78572.87      0.00      0.00
 2306.47  75523.83      0.00      0.00
 2342.28  74761.55      0.32      0.00
 2377.13  70617.95      0.00      0.00
 1738.89  66456.04      0.00      0.00
 1526.22  63276.28      0.00      0.00
 1453.45  60247.16      0.00      0.00
 1348.11  55866.83      0.32      0.00
 1268.72  52612.35      0.00      0.00
 1199.90  49747.17      0.00      0.00
 1131.37  46905.86      0.00      0.00
 1061.40  44005.11      0.00      0.00
 1006.63  41720.87      0.00      0.00
  946.80  39253.79      0.32      0.00
  893.94  37050.30      0.00      0.00
  867.87  36005.25      0.00      0.00
  814.20  33732.54      0.00      0.00
  748.32  31025.12      0.00      0.00
  712.26  29528.67      0.32      0.00
  666.97  27640.11      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  645.58  26765.29      0.00      0.00
  602.30  24994.81      0.00      0.00
  552.05  23115.18      0.00      0.00
  539.53  22128.37      0.00      0.00
  519.01  21517.74      0.32      0.00
  708.59  19861.32      0.00      0.00
  616.78  18350.17      0.00      0.00
  713.98  17221.62      0.00      0.00
  390.77  16174.17      0.00      0.00
  367.34  15230.90      0.32      0.00
  353.60  14671.84      0.00      0.00
  328.68  13626.77      0.00      0.00
  317.54  13153.18      0.00      0.00
  511.06  12101.39      0.00      0.00
  488.68  11506.97      0.00      0.00
  572.51  10781.34      0.32      0.00
  243.61  10020.82      0.00      0.00
  530.35   9422.30      0.00      0.00
  312.84   9005.27      0.00      0.00
  246.73   8323.48      0.00      0.00
  190.71   7894.62      0.32      0.00
  406.00   7410.89      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  170.30   7048.57      0.00      0.00
  157.18   6540.65      0.00      0.00
  148.52   6145.51      0.00      0.00
  165.23   5745.50      0.00      0.00
  194.78   5421.22      1.15      0.00
  124.22   5126.41      0.00      0.00
  116.68   4849.46      0.00      0.00
  151.47   4554.26      0.00      0.00
  133.72   4368.38      0.00      0.00
  124.85   4021.48      0.32      0.00
*** stopping mobility***
  139.47   4001.47      0.00      0.00
   96.48   4012.09      0.00      0.00
   96.98   4008.73      0.00      0.00
   93.20   4012.14      0.00      0.00
  187.93   4002.23      0.00      0.00
   24.40    766.09      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
