    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  206.85   7750.96      0.00      0.00
  323.36   9886.55      0.00      0.00
  290.01   9879.86      0.84      0.00
  238.56   9890.51      0.32      0.00
  238.41   9884.40      0.00      0.00
  238.98   9882.98      0.00      0.00
  237.94   9888.61      0.00      0.00
  238.67   9883.26      0.00      0.00
  238.78   9886.58      0.00      0.00
  273.91   9885.29      0.32      0.00
  271.86   9876.33      0.00      0.00
  265.41   9885.29      0.00      0.00
  238.67   9895.30      0.00      0.00
  238.74   9884.97      0.00      0.00
  238.14   9885.08      0.32      0.00
  269.48   9875.39      0.00      0.00
  239.66   9888.16      0.00      0.00
  269.96   9887.15      0.00      0.00
  265.61   9890.20      0.84      0.00
  264.45   9879.04      0.00      0.00
*** starting mobility***
  285.58  10367.12      0.32      0.00
  265.70  11015.75      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  319.17  11584.34      0.00      0.00
  301.00  12479.46      0.00      0.00
  322.01  13349.27      0.00      0.00
  340.23  14141.75      0.32      0.00
  362.60  14997.45      0.00      0.00
  379.53  15735.20      0.00      0.00
  402.36  16668.32      0.00      0.00
  417.62  17302.39      0.00      0.00
  283.96  10501.62      0.00      0.00
  574.49  20320.32      0.32      0.00
  519.45  21536.17      0.00      0.00
  547.24  22784.12      0.00      0.00
  587.13  24354.15      0.00      0.00
  619.21  25658.98      0.00      0.00
  659.40  27314.34      0.32      0.00
  697.65  28936.29      0.00      0.00
  741.84  30756.44      0.00      0.00
  788.24  32691.86      0.00      0.00
  836.15  34642.49      0.00      0.00
  885.05  36955.59      0.00      0.00
  938.93  38556.42      0.32      0.00
 1027.29  41741.18      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1007.66  44087.44      0.00      0.00
 1145.90  46610.81      0.00      0.00
 1229.66  49674.43      0.00      0.00
 1309.80  52590.78      0.32      0.00
 1362.93  55261.95      0.00      0.00
 1417.71  59484.22      0.00      0.00
 1518.58  62877.02      0.84      0.00
 1465.55  66516.24      0.00      0.00
 1693.64  70645.72      0.00      0.00
 1777.24  74940.05      0.32      0.00
 1689.22  79653.76      0.00      0.00
 1965.70  83193.31      0.00      0.00
 2081.41  88819.43      0.00      0.00
 2007.35  92656.83      0.00      0.00
 1658.37  99110.80      0.32      0.00
 2069.50  97746.33      0.00      0.00
 1056.57  48295.51      0.00      0.00
    0.00     23.95      0.00      0.00
  855.12  58137.12      0.00      0.00
 1277.57  79579.16      0.00      0.00
 1379.98  88822.65      0.32      0.00
 1373.41  79224.25      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1480.10  84824.26      0.00      0.00
 1304.09  87045.56      0.00      0.00
 1203.26  67165.91      0.00      0.00
 1213.54  74160.85      0.00      0.00
 1824.28  75418.10      0.32      0.00
 1750.54  72588.36      0.00      0.00
 1626.81  67494.66      0.00      0.00
 1552.52  64306.60      0.00      0.00
 1445.45  59939.71      0.00      0.00
 1361.18  56646.99      0.32      0.00
 1290.69  53283.80      0.00      0.00
 1216.59  50439.04      0.00      0.00
 1138.17  47175.74      0.00      0.00
 1083.79  44957.39      0.00      0.00
 1026.76  42531.80      0.00      0.00
  968.97  40340.55      0.32      0.00
  923.69  38128.05      0.00      0.00
  847.93  35166.79      0.00      0.00
  809.69  33557.50      0.00      0.00
  759.93  31506.21      0.00      0.00
  714.55  29599.44      0.32      0.00
  681.06  28248.43      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  632.09  26218.20      0.00      0.00
  596.58  24733.90      0.00      0.00
  580.91  24072.12      0.00      0.00
 1151.40  22222.20      0.00      0.00
  830.45  18850.43      0.32      0.00
  126.23      1.47      0.00      0.00
  109.46      1.47      0.00      0.00
  211.76   4192.43      0.00      0.00
  399.89  16567.43      0.00      0.00
  386.03  15991.17      0.32      0.00
  356.87  14783.54      0.00      0.00
  335.82  13921.29      0.00      0.00
  317.74  13186.38      0.00      0.00
  300.90  12463.10      0.00      0.00
  282.71  11719.86      0.00      0.00
  338.02  10976.68      0.32      0.00
  643.34  10498.71      0.00      0.00
  387.33   9667.01      0.00      0.00
  218.27   9037.48      0.00      0.00
  207.22   8603.03      0.00      0.00
  196.07   8115.54      0.32      0.00
  297.76   7756.06      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  372.14   7481.53      0.00      0.00
  166.35   6884.82      0.00      0.00
  251.80   6535.95      0.00      0.00
  262.68   6083.00      0.00      0.00
  136.53   5613.84      1.15      0.00
  128.19   5338.74      0.00      0.00
  277.69   5091.98      0.00      0.00
  234.91   4886.55      0.00      0.00
  210.02   4548.83      0.00      0.00
  101.46   4181.23      0.32      0.00
*** stopping mobility***
   96.38   4007.74      0.00      0.00
  126.53   4000.15      0.00      0.00
  153.63   4012.93      0.00      0.00
  181.77   4009.95      0.00      0.00
   96.74   4010.74      0.00      0.00
    1.82     22.89      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
