    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  240.71   8480.94    327.36  13531.73
  260.91   9886.89    424.98  19079.55
  241.98   9876.89    460.55  19083.34
  224.55   9884.20    411.33  19074.35
  266.69   9893.56    457.62  19080.44
  261.85   9882.06    447.55  19080.91
  288.31   9889.20    443.56  19072.04
  263.35   9883.20    476.19  19083.55
  275.37   9886.81    458.46  19079.40
  239.46   9880.05    463.66  19078.31
  264.88   9885.98    463.62  19077.78
  243.68   9887.19    465.41  19080.12
  281.05   9886.51    460.18  19078.81
  240.77   9886.49    460.18  19078.77
  280.00   9880.20    458.45  19077.77
  233.36   9890.30    449.38  19074.15
  274.01   9876.94    449.90  19083.44
  254.30   9891.92    456.39  19077.28
  253.37   9886.82    450.06  19079.42
  253.06   9877.49    446.49  19073.36
*** starting mobility***
  248.35  10404.39    464.68  19587.56
  276.46  11012.37    462.52  20480.61
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  289.88  11728.35    475.62  21599.81
  308.00  12250.64    546.49  23243.89
  307.29  13218.89    564.90  24294.50
  335.84  14197.70    602.64  25809.64
  327.03  15076.81    593.37  27974.96
  366.07  15990.98    665.74  29456.43
  383.36  16659.71    707.82  31224.99
  411.75  18040.54    740.34  33064.34
   69.03   4237.01    181.34  18073.11
    0.00     11.97      0.32     11.97
    0.00     11.94      0.00      0.00
    0.00      0.00      0.33      0.48
    0.00     11.97      0.00     11.97
    0.32      0.00      0.00      0.00
  300.34   9402.87      0.32      0.00
  711.46  27299.25   1086.08  40314.15
  743.89  30570.43   1376.01  53839.59
  805.04  32407.80   1494.39  56554.14
  807.11  33465.84   1517.09  59283.54
  908.07  35474.25   1670.97  60766.32
  940.60  38062.84   1668.34  65839.67
 1007.79  38609.27   1732.27  66767.05
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  666.13  27417.61   1732.28  68556.05
  722.12  30590.82   1561.20  64742.37
 1184.81  47447.80   1825.12  73841.67
 1046.49  42646.17   1812.96  72960.78
 1185.25  49501.21   1708.36  75482.34
 1283.52  52469.22   1830.61  70604.39
 1407.31  55209.29   1734.68  70963.00
 1411.33  49140.92   2026.35  68114.45
 1397.29  56602.37   1656.45  65379.75
 1376.88  54950.86   1622.89  66677.63
 1390.63  57542.63   1461.56  60469.62
 1393.25  56600.76   1515.77  61866.43
 1621.92  66950.31   1287.18  53177.75
 1700.87  68961.24   1041.81  42614.17
 1782.59  73092.51    858.62  34677.31
 2035.66  81211.56    717.83  28431.41
 1855.59  81452.38    574.10  24280.80
    0.00     35.93     46.80   9174.42
    0.00      0.00      0.00     11.97
 1178.71  52194.19      0.00     11.97
 2087.87  84603.08      0.00      0.00
 2493.00  76741.87      0.32      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 2156.58  50246.62      0.00     11.96
 1963.42  87117.17      0.00      0.00
 3009.00  70440.65      0.00      0.00
 1603.94  55980.46      0.00      0.00
 1800.36  75261.39      0.00      0.00
 1753.08  71641.49      0.32      0.00
 1571.13  67117.63     53.19   2889.17
  390.62  63264.41    259.92  28508.90
  358.48  59623.57    232.68  27391.99
 1011.36  56204.71    511.29  25696.51
  960.45  56067.62    480.83  25141.79
  945.30  51482.01    465.34  23421.87
  881.11  47114.73    442.87  21868.01
  915.28  44530.66    438.96  20493.68
  689.98  42095.25    370.96  19425.81
  705.89  39773.53    357.98  18444.48
  632.41  37156.29    337.07  17464.89
  609.07  35699.73    318.10  16517.13
  618.37  33777.68    314.09  15511.68
  581.39  31500.66    298.49  14623.37
  550.67  29759.48    277.77  13881.49
  548.43  27628.44    282.86  13093.03
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  485.07  27460.93    251.78  12618.45
  470.27  25521.35    238.03  11712.75
  472.04  23192.18    351.06  11220.19
  244.11  13698.94    538.46  10519.39
  816.18  20439.41    224.40   9431.64
  310.93  13871.29    514.88   9241.01
  843.38  18024.88    346.62   8718.51
  857.33  17099.57    422.76   8149.48
  513.30  15059.95     14.50   4660.00
  346.82  10723.23      0.00     11.97
  452.61  14291.74      0.65      0.48
   93.30   5456.85      0.00     11.94
    0.00     11.97      4.62    107.74
  124.59   5879.87      6.34    430.13
  112.77      1.46     63.70    943.54
  208.75   4236.89    233.54   5062.72
  421.00  10032.87    115.83   4776.99
  340.59   9653.65    230.77   4551.35
  309.14   8941.92    242.37   4273.45
  269.23   8281.06    146.00   4020.86
  240.31   7929.52    222.51   3821.02
  168.41   7304.01    123.91   3508.32
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  197.64   7004.83     82.60   3436.56
  213.94   6512.97     76.81   3196.62
  183.92   6332.19     73.91   3040.41
  141.51   5866.91     71.04   2945.43
  130.75   5419.70     65.47   2703.87
  126.48   5184.29     83.34   2561.97
  114.90   4931.32    137.56   2453.69
  112.60   4728.14     83.37   2262.33
  109.67   4261.45     52.55   2178.61
*** stopping mobility***
  126.53   4091.93     48.48   1998.11
  129.00   4001.02     45.97   1892.70
  106.31   4010.68     45.62   1891.26
   97.09   4013.51     51.53   1892.94
  124.85   4009.93     45.94   1891.25
   66.98   2752.87     45.36   1879.62
    0.32      0.00     45.66   1893.57
    0.58      1.47      3.30     59.11
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
