    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  277.57   8137.61    365.68  12928.05
  278.44   9883.78    460.05  19085.51
  209.15   9892.73    387.41  19078.84
  275.54   9856.43    376.94  19078.12
  223.36   9882.56    420.17  19071.19
  227.17   9887.82    380.98  19081.73
  233.20   9871.96    453.80  19073.82
  248.03   9898.99    468.03  19079.80
  269.53   9883.59    461.18  19084.32
  292.73   9875.77    458.50  19081.19
  274.98   9891.19    455.78  19075.87
  235.60   9887.76    451.00  19081.23
  285.35   9886.60    467.69  19078.98
  239.06   9875.51    457.08  19080.67
  287.80   9891.74    440.78  19076.94
  232.16   9888.74    443.54  19071.14
  253.13   9884.26    443.87  19085.61
  269.08   9885.77    451.55  19079.07
  236.50   9875.87    450.74  19069.41
  226.56   9884.87    426.30  19075.64
*** starting mobility***
  268.62  10437.02    449.78  19605.31
  302.34  10907.08    457.43  20628.86
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  301.36  11879.42    509.58  21808.85
  290.18  12567.97    531.79  23340.52
  306.14  13291.23    557.15  24582.78
  320.67  14181.16    585.87  26158.49
  343.00  14974.65    623.63  27686.94
  363.22  15836.83    658.29  29267.61
  384.01  16950.38    699.88  31255.26
  399.28  17893.04    730.68  33200.86
  146.78   7810.34    260.04  23838.30
    0.00     11.97      0.00     11.97
    0.00     11.97      0.00     11.97
    0.33      0.48      0.00      0.00
    0.32     11.98      0.00     11.98
    0.00      0.00    203.06   3725.83
    0.00      0.00   1686.59  48520.47
    0.00      0.00   1631.97  51189.52
  152.44   4716.51   1717.67  53980.85
  400.01  13715.13   1465.50  56230.79
    2.93     12.69    147.52   1388.41
    1.47      1.47    149.62     13.44
    0.00     11.97    148.35      1.47
    0.00      0.00   1575.60  64558.79
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
   67.66   2813.43   1682.05  69880.89
 1221.39  44228.46   1948.84  69415.68
 1182.08  48442.94   1678.03  65373.68
 1196.36  49344.71   1484.92  61147.64
 1326.76  54524.45   1548.82  63656.14
 1327.60  54918.00   1325.86  54808.00
 1412.12  58180.48   1425.38  58714.78
 1414.00  58029.90   1474.02  60288.73
 1422.33  58075.75   1436.86  58403.04
 1409.26  58696.30   1514.82  63644.35
 1374.62  55265.17   1722.12  70243.33
 1542.33  56366.10   1726.72  63569.64
 1444.32  60336.03   1447.43  60309.00
 1424.79  57337.34   1428.07  57665.71
 1422.34  58624.32   1415.88  57936.77
 1420.58  57504.65   1386.22  57111.98
 1384.23  56972.44   1363.79  55630.99
   32.99   4980.30     38.11   9681.22
    0.00     11.98     24.58   4371.68
    0.00      0.00     92.93   3387.60
    0.00     11.97     63.45    732.05
    0.00      0.00     16.17      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00    166.37   2724.95
    0.32     11.97   1696.23  39248.12
    0.00      0.00    649.41  25051.20
  271.04  14076.52     97.96     11.98
  877.67  22384.48    111.91      0.00
    3.36      1.47    134.27      0.00
  137.36      1.47      0.00      0.00
  652.70  25267.08     27.40    895.97
 1443.60  59667.45    621.61  25759.78
 1361.73  56249.32    613.52  25448.12
 1313.01  54460.67    592.99  24573.13
 1211.46  49939.73    561.46  23102.51
 1139.15  47227.21    522.38  21632.12
 1077.73  44506.85    503.58  20627.21
 1036.07  42925.18    471.31  19516.23
  975.32  40436.11    442.33  18353.59
  914.18  37901.24    420.68  17441.28
  847.60  35126.56    398.21  16509.53
  799.49  33143.80    382.44  15627.30
  754.74  31268.40    359.18  14867.45
  724.69  30033.27    337.23  14003.22
  691.02  28646.58    324.71  13434.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  628.43  26054.37    304.40  12632.06
  618.43  25611.81    299.39  11813.01
  592.05  23432.98    605.65  10931.97
  580.71  22294.02    405.20  10370.45
  659.54  20698.89    281.87   9636.11
  493.81  20103.27    220.39   9135.67
  573.75  18243.66    207.18   8566.03
  400.11  17354.26    156.78   8079.44
  495.96  16104.34    339.41   7663.42
  410.45  15485.12    106.55   5434.64
  392.18  14563.02      8.09    791.82
  316.22  13693.79     10.54      1.47
  278.77  12901.08      5.20      1.47
  536.34  12246.87      0.00     11.97
  766.28  11582.02      6.19      0.00
  481.77  10858.46     46.21      0.00
  529.03  10140.00    174.85   2687.28
  225.09   9439.65    356.79   4402.78
  250.19   8916.91    211.49   4201.12
  505.29   8403.11    227.82   4057.91
  212.99   8080.08    121.20   3866.47
  181.89   7528.94    195.78   3555.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  169.19   7038.28    157.61   3351.56
  229.14   6761.85     74.48   3087.71
  255.44   6284.00     71.02   2956.47
  142.67   5915.01     68.48   2837.77
  133.39   5542.38     66.09   2693.38
  204.63   5409.95     61.78   2573.32
  189.36   5039.60     57.17   2358.20
  112.35   4644.54     53.13   2202.57
  106.61   4394.42     51.73   2131.35
*** stopping mobility***
   99.89   4153.86     47.92   1998.89
   97.00   4009.70     45.61   1879.17
   95.86   4006.26     45.58   1889.52
  166.66   4009.94     45.62   1891.25
  159.74   4012.35     45.97   1892.39
  187.69   4000.15     46.29   1892.29
  150.38   2834.34     45.92   1890.52
    0.00      0.00     45.66   1893.33
    0.00      0.00     45.62   1879.34
    1.57      2.20     18.47    731.82
