    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  622.56  24769.76      0.00      0.00
  680.97  28186.22      0.00      0.00
  684.62  28203.09      0.83      0.00
  683.15  28191.29      0.32      0.00
  682.00  28191.60      0.00      0.00
  681.51  28193.94      0.00      0.00
  696.78  28190.42      0.00      0.00
  695.97  28194.70      0.00      0.00
  698.68  28188.78      0.32      0.00
  701.84  28188.56      0.00      0.00
  714.34  28202.39      0.00      0.00
  710.71  28188.36      0.00      0.00
  717.75  28189.54      0.00      0.00
  727.87  28200.67      0.00      0.00
  714.49  28190.64      0.32      0.00
  680.22  28189.74      0.00      0.00
  680.13  28197.94      0.00      0.00
  680.53  28191.71      0.00      0.00
  680.52  28188.62      0.83      0.00
  679.05  28188.76      0.32      0.00
  685.72  28199.88      0.00      0.00
  680.24  28190.36      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  680.23  28190.14      0.00      0.00
  679.58  28198.78      0.00      0.00
  688.60  28188.70      0.32      0.00
  679.77  28194.95      0.00      0.00
  680.03  28193.57      0.00      0.00
  680.01  28192.70      0.00      0.00
  679.69  28191.74      0.00      0.00
  680.35  28193.65      0.00      0.00
  389.18  26638.35      0.32      0.00
 1024.23  28211.99      0.00      0.00
  989.40  28192.87      0.00      0.00
  794.67  28199.55      0.00      0.00
  680.21  28189.18      0.00      0.00
  679.97  28190.00      0.32      0.00
  680.18  28199.97      0.00      0.00
  679.96  28190.89      0.00      0.00
  680.20  28188.78      0.00      0.00
  678.59  28193.82      0.00      0.00
  681.70  28189.91      0.00      0.00
  679.76  28194.53      0.32      0.00
  677.80  28197.09      0.00      0.00
  682.08  28182.89      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  680.23  28201.82      0.00      0.00
  563.77  23321.03      0.00      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.00      0.00
    0.00      0.00      0.83      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
