    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  654.13  25713.21      0.00      0.00
  710.20  28187.80      0.83      0.00
  711.12  28189.43      0.32      0.00
  710.77  28198.39      0.00      0.00
  714.87  28189.57      0.00      0.00
  704.16  28199.46      0.00      0.00
  717.55  28192.39      0.00      0.00
  700.84  28193.12      0.00      0.00
  722.86  28186.22      0.32      0.00
  680.16  28198.98      0.00      0.00
  685.16  28191.06      0.00      0.00
  684.35  28189.26      0.00      0.00
  680.23  28189.88      0.00      0.00
  684.70  28198.50      0.32      0.00
  680.03  28193.57      0.00      0.00
  680.09  28184.16      0.00      0.00
  685.02  28201.26      0.00      0.00
  684.95  28190.47      0.83      0.00
  680.81  28190.22      0.00      0.00
  682.26  28194.70      0.32      0.00
  682.70  28196.42      0.00      0.00
  680.21  28189.09      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  679.53  28196.73      0.00      0.00
  680.22  28189.49      0.00      0.00
  680.57  28190.92      0.32      0.00
  679.52  28196.42      0.00      0.00
  679.99  28192.16      0.00      0.00
  680.09  28196.25      0.00      0.00
  685.00  28180.28      0.00      0.00
  684.66  28201.09      0.00      0.00
  138.66  16084.05      0.32      0.00
  850.14  19537.57      0.00      0.00
  908.98  28197.55      0.00      0.00
  855.86  27928.93      0.00      0.00
  703.32  28457.27      0.00      0.00
  681.54  28195.06      0.32      0.00
  674.56  28194.47      0.00      0.00
  685.46  28191.03      0.00      0.00
  680.18  28188.04      0.00      0.00
  680.07  28195.35      0.00      0.00
  680.38  28194.84      0.00      0.00
  679.22  28196.08      0.32      0.00
  680.70  28185.72      0.00      0.00
  684.57  28190.50      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  684.35  28197.20      0.00      0.00
  494.45  20425.12      0.00      0.00
    0.65      0.48      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
