    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  646.64  25149.75      0.00      0.00
  715.24  28188.50      0.00      0.00
  707.41  28035.16      0.83      0.00
  704.26  28351.88      0.32      0.00
  680.39  28196.53      0.00      0.00
  681.78  28193.16      0.00      0.00
  677.65  28059.30      0.00      0.00
  697.38  28321.41      0.00      0.00
  674.49  28203.20      0.32      0.00
  688.89  28189.73      0.00      0.00
  695.86  28191.23      0.00      0.00
  707.89  28183.80      0.00      0.00
  699.24  28200.13      0.00      0.00
  711.58  28191.26      0.00      0.00
  724.16  28172.31      0.32      0.00
  698.50  28217.04      0.00      0.00
  679.70  28191.96      0.00      0.00
  689.63  28188.76      0.00      0.00
  680.65  28195.43      0.83      0.00
  680.23  28189.97      0.32      0.00
  682.48  28199.43      0.00      0.00
  687.49  28191.74      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  680.54  28190.70      0.00      0.00
  681.95  28189.43      0.00      0.00
  680.38  28194.73      0.00      0.00
  680.05  28194.64      0.32      0.00
  684.44  28192.75      0.00      0.00
  680.01  28192.87      0.00      0.00
  693.32  28183.52      0.00      0.00
  679.96  28201.40      0.00      0.00
  334.89  25686.18      0.32      0.00
  725.94  21182.90      0.00      0.00
  854.80  28191.41      0.00      0.00
  857.96  28193.68      0.00      0.00
  876.09  28191.46      0.00      0.00
  708.02  28192.02      0.32      0.00
  685.97  28192.64      0.00      0.00
  684.72  28192.58      0.00      0.00
  680.21  28189.26      0.00      0.00
  679.64  28201.63      0.00      0.00
  680.78  28187.54      0.00      0.00
  679.67  28190.59      0.32      0.00
  684.26  28193.74      0.00      0.00
  680.15  28198.81      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  680.23  28190.19      0.00      0.00
  585.57  24226.25      0.00      0.00
    0.32      0.00      0.32      0.00
    0.33      0.48      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
