    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  646.88  25741.04    604.73  24482.86
  693.21  28194.08    739.19  29917.32
  625.73  28192.17    670.55  29927.25
  691.47  28197.23    740.55  29922.13
  683.96  28193.06    719.61  29918.43
  658.06  28189.87    705.22  29922.58
  651.52  28194.61    693.61  29919.35
  672.41  28192.05    685.96  29928.60
  660.76  28193.77    722.61  29918.45
  653.83  28190.07    687.84  29927.24
  633.88  28183.18    698.63  29918.45
  696.91  28202.74    738.79  29919.22
  701.11  28195.04    757.55  29930.30
  694.61  28190.84    726.69  29927.32
  684.77  28194.72    722.23  29919.47
  694.21  28195.18    725.81  29919.94
  701.66  28188.72    745.58  29925.81
  680.04  28194.10    726.45  29918.81
  685.30  28192.89    760.22  29929.50
  700.41  28193.03    744.73  29917.67
  680.07  28195.46    734.07  29920.24
  680.21  28189.00    731.92  29926.11
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  684.47  28186.30    725.89  29923.23
  684.86  28198.42    727.14  29923.38
  685.11  28191.46    727.86  29916.00
  684.43  28188.93    721.20  29924.55
  688.66  28196.50    726.69  29920.62
  685.05  28190.56    725.96  29926.28
  693.99  28198.19    734.25  29923.14
  679.95  28188.96    726.45  29911.16
  202.68  20193.35    215.70  20049.71
   66.31    515.45      0.00     11.97
   96.82      0.00    787.97  18481.48
  284.75   2358.59    782.38  29920.07
  611.74  18686.66    789.06  29926.42
   99.98      0.00    356.28  14758.99
  161.69     11.97    115.87      1.47
  101.44      0.00    233.25      1.47
    0.00      0.00     29.63    623.13
  235.53  10159.97    252.85  10889.96
  689.47  28189.18    731.72  29924.82
  685.28  28191.68    733.60  29928.21
  684.86  28197.32    735.64  29920.98
  685.00  28188.62    726.58  29924.22
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  684.92  28197.01    726.43  29921.89
  541.97  22433.89    601.79  24896.68
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    1.16      0.00      0.84      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
