    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  630.74  24600.88    531.66  21654.60
  714.90  28176.69    748.69  29911.41
  700.68  28211.38    736.50  29936.41
  710.51  28187.30    754.20  29921.95
  728.07  28195.00    769.40  29917.27
  688.82  28171.18    755.66  29906.36
  697.25  28210.78    740.93  29947.06
  704.10  28185.60    755.66  29921.75
  690.24  28198.25    737.47  29923.20
  702.67  28198.44    754.88  29923.41
  704.83  28186.60    735.56  29922.63
  716.94  28180.09    762.19  29915.61
  738.64  28216.12    771.00  29930.13
  703.12  28189.12    739.98  29923.89
  707.02  28192.96    755.38  29915.39
  713.32  28193.36    732.32  29929.95
  702.91  28191.23    743.55  29913.86
  699.12  28183.50    742.34  29928.81
  724.56  28172.46    763.60  29908.31
  698.31  28225.80    753.91  29938.12
  685.89  28189.26    726.81  29913.67
  707.18  28197.18    756.67  29931.02
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  686.86  28192.09    726.55  29926.73
  685.41  28193.40    722.20  29918.06
  679.98  28190.47    726.27  29926.19
  688.93  28195.71    725.82  29920.51
  682.44  28098.06    724.04  29930.55
  719.42  28284.82    748.08  29909.52
  684.77  28194.50    721.65  29931.20
  684.20  28193.45    742.43  29918.85
  408.78  28191.83    429.21  29615.78
    0.00     47.88      0.00     11.97
  183.23   4716.02    756.32  13586.23
  749.77  28192.95   1251.01  29931.85
  774.49  28197.40   1251.74  29920.75
  779.86  28188.59    268.73  16768.65
  805.28  28194.62      0.00     11.97
  425.44  18988.43     40.31      0.73
  516.48  10255.37    423.91  11880.82
  713.21  28202.18    746.72  29934.95
  690.81  28201.52    740.63  29926.67
  685.41  28186.00    740.19  29922.04
  685.01  28196.67    735.85  29921.53
  690.58  28189.04    726.59  29924.67
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  694.61  28188.25    732.05  29923.83
  689.25  28195.68    737.27  29920.48
  494.54  20241.81    293.16  12077.81
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.33      0.48
    1.15      0.00      0.83      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
