    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  642.93  25237.83    615.77  24098.79
  671.02  28187.43    711.44  29911.00
  631.43  28190.95    664.08  29926.70
  662.84  28194.95    705.95  29919.71
  663.82  28192.89    689.44  29929.50
  661.86  28198.34    687.49  29923.27
  658.22  28187.85    698.75  29924.15
  665.87  28193.29    712.97  29917.21
  689.12  28191.79    716.48  29928.33
  696.40  28196.78    738.36  29921.65
  708.65  28187.66    753.69  29923.20
  720.71  28196.30    750.20  29921.14
  718.66  28187.88    760.72  29923.44
  687.79  28196.02    740.67  29920.84
  690.97  28188.95    725.91  29924.58
  684.50  28195.46    730.89  29919.51
  693.03  28190.39    740.41  29926.84
  697.93  28195.85    731.80  29920.66
  680.42  28187.24    741.44  29922.76
  701.49  28199.06    749.70  29922.61
  680.48  28187.03    721.77  29924.01
  684.35  28197.26    726.44  29922.16
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  689.71  28192.08    726.00  29915.93
  684.23  28192.56    726.89  29929.14
  704.54  28193.54    749.44  29917.48
  704.30  28191.54    732.13  29927.33
  680.45  28185.66    721.69  29921.08
  679.06  28201.43    730.68  29926.58
  698.56  28165.14    730.51  29900.04
  691.73  28217.17    738.84  29938.17
  506.15  28196.87    541.99  29930.04
    0.32   4165.61      0.00   3698.78
    0.00     11.97      0.00     11.97
    0.33      0.48      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00     11.95    437.32   6382.83
    0.32      0.00   1068.05  29922.80
    0.00      0.00    959.85  29922.27
   55.87   1688.15    875.53  29920.13
  252.09   4604.23    508.83  29933.46
  336.63    910.42    261.10  12650.73
   82.89      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.00      0.00      0.32      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
