------------------------------------------------------------
Client connecting to 192.168.1.254, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.10 port 60075 connected with 192.168.1.254 port 5001
[ ID] Interval       Transfer     Bandwidth
[  3]  0.0- 1.0 sec  7.00 MBytes  58.7 Mbits/sec
[  3]  1.0- 2.0 sec  6.75 MBytes  56.6 Mbits/sec
[  3]  2.0- 3.0 sec  6.50 MBytes  54.5 Mbits/sec
[  3]  3.0- 4.0 sec  6.75 MBytes  56.6 Mbits/sec
[  3]  4.0- 5.0 sec  6.38 MBytes  53.5 Mbits/sec
[  3]  5.0- 6.0 sec  6.62 MBytes  55.6 Mbits/sec
[  3]  6.0- 7.0 sec  6.75 MBytes  56.6 Mbits/sec
[  3]  7.0- 8.0 sec  6.75 MBytes  56.6 Mbits/sec
[  3]  8.0- 9.0 sec  7.00 MBytes  58.7 Mbits/sec
[  3]  9.0-10.0 sec  7.25 MBytes  60.8 Mbits/sec
[  3] 10.0-11.0 sec  6.75 MBytes  56.6 Mbits/sec
[  3] 11.0-12.0 sec  7.75 MBytes  65.0 Mbits/sec
[  3] 12.0-13.0 sec  7.00 MBytes  58.7 Mbits/sec
[  3] 13.0-14.0 sec  6.62 MBytes  55.6 Mbits/sec
[  3] 14.0-15.0 sec  7.00 MBytes  58.7 Mbits/sec
[  3] 15.0-16.0 sec  7.12 MBytes  59.8 Mbits/sec
[  3] 16.0-17.0 sec  7.00 MBytes  58.7 Mbits/sec
[  3] 17.0-18.0 sec  5.38 MBytes  45.1 Mbits/sec
[  3] 18.0-19.0 sec  7.00 MBytes  58.7 Mbits/sec
[  3] 19.0-20.0 sec  7.00 MBytes  58.7 Mbits/sec
[  3] 20.0-21.0 sec  7.12 MBytes  59.8 Mbits/sec
[  3] 21.0-22.0 sec  5.25 MBytes  44.0 Mbits/sec
[  3] 22.0-23.0 sec  7.00 MBytes  58.7 Mbits/sec
[  3] 23.0-24.0 sec  7.00 MBytes  58.7 Mbits/sec
[  3] 24.0-25.0 sec  7.12 MBytes  59.8 Mbits/sec
[  3] 25.0-26.0 sec  5.25 MBytes  44.0 Mbits/sec
[  3] 26.0-27.0 sec  7.00 MBytes  58.7 Mbits/sec
[  3] 27.0-28.0 sec  7.12 MBytes  59.8 Mbits/sec
[  3] 28.0-29.0 sec  7.12 MBytes  59.8 Mbits/sec
[  3] 29.0-30.0 sec  5.25 MBytes  44.0 Mbits/sec
[  3] 30.0-31.0 sec  5.25 MBytes  44.0 Mbits/sec
[  3] 31.0-32.0 sec  0.00 Bytes  0.00 bits/sec
[  3] 32.0-33.0 sec  0.00 Bytes  0.00 bits/sec
[  3] 33.0-34.0 sec  0.00 Bytes  0.00 bits/sec
[  3] 34.0-35.0 sec  0.00 Bytes  0.00 bits/sec
[  3] 35.0-36.0 sec  0.00 Bytes  0.00 bits/sec
[  3] 36.0-37.0 sec  3.50 MBytes  29.4 Mbits/sec
[  3] 37.0-38.0 sec  3.50 MBytes  29.4 Mbits/sec
