    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  633.03  25334.09      0.00      0.00
  682.32  28192.61      0.00      0.00
  693.70  28189.09      0.83      0.00
  682.09  28196.36      0.32      0.00
  683.18  28192.53      0.00      0.00
  682.65  28193.21      0.00      0.00
  684.59  28191.15      0.00      0.00
  698.77  28190.84      0.00      0.00
  700.42  28189.26      0.32      0.00
  703.90  28201.57      0.00      0.00
  705.73  28192.78      0.00      0.00
  717.23  28190.64      0.00      0.00
  722.20  28193.60      0.00      0.00
  731.45  28191.65      0.00      0.00
  699.32  28191.52      0.32      0.00
  680.54  28190.81      0.00      0.00
  679.50  28195.57      0.00      0.00
  680.03  28193.77      0.00      0.00
  681.44  28192.36      0.84      0.00
  679.71  28192.33      0.32      0.00
  681.93  28188.81      0.00      0.00
  681.95  28189.38      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  681.20  28194.16      0.00      0.00
  680.04  28194.27      0.00      0.00
  680.42  28196.76      0.00      0.00
  679.64  28189.62      0.32      0.00
  679.94  28190.05      0.00      0.00
  678.01  28193.28      0.00      0.00
  682.47  28198.92      0.00      0.00
  684.72  28187.41      0.00      0.00
  160.81  16186.45      0.32      0.00
  962.29  28191.74      0.00      0.00
  870.38  28194.90      0.00      0.00
  882.61  28189.24      0.00      0.00
  774.41  28197.97      0.00      0.00
  680.53  28189.24      0.00      0.00
  683.38  28195.86      0.32      0.00
  680.29  28192.60      0.00      0.00
  681.36  28189.09      0.00      0.00
  679.48  28194.75      0.00      0.00
  685.76  28190.84      0.00      0.00
  678.88  28193.74      0.32      0.00
  685.56  28195.88      0.00      0.00
  676.79  28191.12      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  683.39  28189.44      0.00      0.00
  591.09  24452.68      0.00      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.84      0.00      0.84      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
